creationDate|Comment.id|Place.id
2012-12-23T13:37:42.768+00:00|1168231106772|97
2012-12-23T14:01:22.787+00:00|1168231107127|80
2012-12-23T06:25:57.248+00:00|1168231107128|90
2012-12-23T01:35:01.754+00:00|1168231107129|80
2012-12-23T19:36:39.909+00:00|1168231107130|4
2012-12-23T09:47:38.877+00:00|1168231107132|54
2012-12-23T06:33:59.676+00:00|1168231107133|25
2012-12-23T06:26:58.581+00:00|1168231107136|52
2012-12-23T10:05:03.797+00:00|1168231107137|1
2012-12-23T20:39:06.914+00:00|1168231107138|0
2012-12-23T21:19:12.553+00:00|1168231107139|57
