deletionDate|Comment.id|Person.id
2012-12-11T23:45:12.518+00:00|1168231106755|8796093022234
2012-12-11T23:45:12.518+00:00|1168231106757|28587302322180
2012-12-11T23:45:12.518+00:00|1168231106758|2199023255594
2012-12-11T23:45:12.518+00:00|1168231106759|6597069766702
2012-12-11T23:45:12.518+00:00|1168231106760|14
2012-12-11T23:45:12.518+00:00|1168231106761|37383395344409
2012-12-11T23:45:12.518+00:00|1168231106762|10995116277808
2012-12-11T23:45:12.518+00:00|1168231106763|26388279066632
2012-12-11T23:45:12.518+00:00|1168231107119|37383395344409
2012-12-11T23:45:12.518+00:00|1168231107123|37383395344409
