deletionDate|Comment.id|Place.id
2012-12-24T01:09:38.001+00:00|1168231106852|50
2012-12-24T01:09:38.001+00:00|1168231106853|50
2012-12-24T01:09:38.001+00:00|1168231106854|57
2012-12-24T01:09:38.001+00:00|1168231106855|59
2012-12-24T01:09:38.001+00:00|1168231106856|56
2012-12-24T01:09:38.001+00:00|1168231106857|1
2012-12-24T01:09:38.001+00:00|1168231106858|53
2012-12-24T01:09:38.001+00:00|1168231106859|57
2012-12-24T01:09:38.001+00:00|1168231106860|0
2012-12-24T01:09:38.001+00:00|1168231106861|1
2012-12-24T01:09:38.001+00:00|1168231106863|60
2012-12-24T01:09:38.001+00:00|1168231106864|60
2012-12-24T01:09:38.001+00:00|1168231106865|56
2012-12-24T01:09:38.001+00:00|1168231106866|65
2012-12-24T01:09:38.001+00:00|1168231106867|48
2012-12-24T01:09:38.001+00:00|1168231106868|53
2012-12-24T01:09:38.001+00:00|1168231106869|80
