India|744
China|278
Angola|3
Austria|1
Bosnia_and_Herzegovina|1
Bulgaria|1
Chad|2
Denmark|1
Dominican_Republic|1
El_Salvador|2
Estonia|1
Finland|1
Hong_Kong|1
Israel|1
Jordan|1
Laos|1
Latvia|1
Liberia|1
Lithuania|3
Mauritania|62
Mauritius|1
Namibia|2
New_Zealand|3
Nicaragua|1
Northern_Ireland|1
Norway|1
Panama|1
Papua_New_Guinea|2
Puerto_Rico|1
Republic_of_Ireland|3
Rwanda|2
Scotland|4
Slovenia|1
Swaziland|2
Switzerland|3
Uruguay|3
Wales|107
Brazil|268
Germany|1
Indonesia|2
Japan|254
Mexico|571
Pakistan|2
Russia|1
United_States|231
Afghanistan|1
Algeria|390
Belgium|2
Canada|2
Cambodia|1
Chile|1
Cuba|2
Democratic_Republic_of_the_Congo|2
Egypt|1
Ethiopia|1
France|1
Iran|1
Italy|1
Kazakhstan|1
Kenya|1
Madagascar|1
Morocco|1
Nepal|1
Netherlands|226
Niger|2
Poland|525
Taiwan|2
Senegal|2
South_Africa|5
Spain|1
Sri_Lanka|1
Sweden|306
Tanzania|2
Thailand|1
Tunisia|1
Ukraine|1
United_Kingdom|1
Venezuela|2
Zambia|127
