creationDate|Comment1.id|Comment2.id
2012-12-26T08:59:58.302+00:00|1168231106745|1168231106741
2012-12-26T09:00:09.054+00:00|1168231106746|1168231106745
2012-12-26T11:03:29.601+00:00|1168231106750|1168231106749
2012-12-26T19:34:47.918+00:00|1168231106751|1168231106749
2012-12-26T23:17:27.060+00:00|1168231107805|1168231107804
2012-12-26T19:30:18.943+00:00|1168231107806|1168231107804
2012-12-26T19:07:53.385+00:00|1168231107807|1168231107804
2012-12-26T17:36:57.938+00:00|1168231107845|1168231107842
2012-12-26T20:06:43.048+00:00|1168231107855|755914247434
2012-12-26T20:24:33.014+00:00|1168231107856|962072677646
2012-12-26T17:29:06.806+00:00|1168231107874|1099511631137
2012-12-26T23:19:08.632+00:00|1168231109242|1168231109239
2012-12-26T21:18:36.561+00:00|1168231109260|1168231109255
2012-12-26T03:50:11.274+00:00|1168231109277|1168231109271
