creationDate|id|locationIP|browserUsed|content|length
2012-11-24T03:36:34.117+00:00|1168231105896|178.22.170.107|Chrome|good|4
2012-11-24T04:12:00.924+00:00|1168231105898|31.209.179.5|Firefox|thanks|6
2012-11-24T00:49:06.915+00:00|1168231105899|27.122.45.252|Internet Explorer|About Ivan Ljubičić,  Ljubičić and Mario Ančić are only the About John A. Ma|76
2012-11-24T06:12:35.489+00:00|1168231105901|192.190.31.253|Chrome|yes|3
2012-11-24T13:07:09.924+00:00|1168231105904|192.190.31.253|Chrome|no way!|7
2012-11-24T07:56:24.067+00:00|1168231105905|31.209.179.5|Firefox|About Swagga Like Us,  100 Best Songs of 2008. T.I. , Kanye West, Jay-Z, Lil Way|80
2012-11-24T05:31:33.688+00:00|1168231105906|31.209.179.5|Firefox|thx|3
2012-11-24T13:41:49.875+00:00|1168231106873|180.222.139.188|Internet Explorer|cool|4
2012-11-24T08:02:59.286+00:00|1168231109648|193.104.227.215|Internet Explorer|roflol|6
2012-11-24T02:24:40.401+00:00|1168231109651|193.104.227.215|Internet Explorer|maybe|5
2012-11-24T16:27:04.436+00:00|1168231109660|193.104.227.215|Internet Explorer|ok|2
2012-11-24T07:35:02.080+00:00|1168231109664|193.104.227.215|Internet Explorer|thx|3
2012-11-24T20:17:04.903+00:00|1168231109665|193.104.227.215|Internet Explorer|About Henry V of England, ous victory at the BattAbout Moldova, opean Union, and has imAbo|90
2012-11-24T20:37:30.785+00:00|1168231109666|31.170.121.115|Internet Explorer|no way!|7
