creationDate|Comment.id|Place.id
2012-12-29T02:47:04.434+00:00|1168231109182|65
2012-12-29T00:42:26.495+00:00|1168231109187|57
2012-12-29T10:33:24.177+00:00|1168231109192|1
2012-12-29T10:39:41.674+00:00|1168231109193|1
2012-12-29T14:31:34.431+00:00|1168231109198|53
2012-12-29T23:19:01.773+00:00|1168231109199|52
2012-12-29T10:33:55.363+00:00|1168231109200|56
2012-12-29T21:06:17.015+00:00|1168231109201|101
2012-12-29T12:02:24.224+00:00|1168231109204|61
2012-12-29T22:15:20.013+00:00|1168231109258|101
2012-12-29T23:15:24.582+00:00|1168231109262|101
2012-12-29T17:06:21.441+00:00|1168231109264|1
2012-12-29T22:40:16.971+00:00|1168231109274|101
