creationDate|Comment.id|Tag.id
2012-11-29T21:37:00.417+00:00|1168231107902|565
2012-11-29T21:37:00.417+00:00|1168231107902|2423
2012-11-29T21:37:00.417+00:00|1168231107902|2814
2012-11-29T21:37:00.417+00:00|1168231107902|4878
2012-11-29T21:37:00.417+00:00|1168231107902|7562
2012-11-29T21:37:00.417+00:00|1168231107902|11250
2012-11-29T21:37:00.417+00:00|1168231107902|12042
2012-11-29T21:37:00.417+00:00|1168231107902|12427
2012-11-29T21:37:00.417+00:00|1168231107902|13703
2012-11-29T17:38:49.475+00:00|1168231107903|5100
2012-11-29T17:38:49.475+00:00|1168231107903|6394
2012-11-29T17:38:49.475+00:00|1168231107903|7003
2012-11-29T17:38:49.475+00:00|1168231107903|11625
2012-11-29T17:38:49.475+00:00|1168231107903|14605
