creationDate|Person.id|Tag.id
2012-11-03T10:03:45.388+00:00|35184372088850|804
2012-11-03T10:03:45.388+00:00|35184372088850|973
2012-11-03T10:03:45.388+00:00|35184372088850|1170
2012-11-03T10:03:45.388+00:00|35184372088850|1185
2012-11-03T10:03:45.388+00:00|35184372088850|1206
2012-11-03T10:03:45.388+00:00|35184372088850|1749
2012-11-03T10:03:45.388+00:00|35184372088850|1908
2012-11-03T10:03:45.388+00:00|35184372088850|1954
2012-11-03T10:03:45.388+00:00|35184372088850|2003
2012-11-03T10:03:45.388+00:00|35184372088850|2786
2012-11-03T10:03:45.388+00:00|35184372088850|2816
2012-11-03T10:03:45.388+00:00|35184372088850|2969
2012-11-03T10:03:45.388+00:00|35184372088850|2985
2012-11-03T10:03:45.388+00:00|35184372088850|4865
2012-11-03T10:03:45.388+00:00|35184372088850|6399
2012-11-03T10:03:45.388+00:00|35184372088850|6815
2012-11-03T10:03:45.388+00:00|35184372088850|7025
2012-11-03T10:03:45.388+00:00|35184372088850|7142
2012-11-03T10:03:45.388+00:00|35184372088850|7689
2012-11-03T10:03:45.388+00:00|35184372088850|9929
