creationDate|Comment1.id|Comment2.id
2012-12-31T02:41:24.262+00:00|1168231107121|1168231107118
2012-12-31T17:24:33.405+00:00|1168231107148|1168231107146
2012-12-31T03:05:46.173+00:00|1168231107155|1168231107144
2012-12-31T10:37:15.901+00:00|1168231107235|1168231107233
2012-12-31T10:57:35.806+00:00|1168231107237|1168231107235
2012-12-31T01:24:45.979+00:00|1168231107238|1168231107233
2012-12-31T16:31:59.890+00:00|1168231107240|1168231107235
2012-12-31T14:33:35.129+00:00|1168231107241|1168231107235
2012-12-31T01:48:51.087+00:00|1168231107242|1168231107238
2012-12-31T22:39:48.173+00:00|1168231107243|1168231107235
2012-12-31T12:44:25.612+00:00|1168231107244|1168231107235
2012-12-31T23:13:01.291+00:00|1168231109189|1168231109183
2012-12-31T10:37:29.065+00:00|1168231109207|1168231109198
2012-12-31T12:29:25.050+00:00|1168231109223|1168231109211
2012-12-31T18:19:46.094+00:00|1168231109225|1168231109223
2012-12-31T20:37:11.692+00:00|1168231109235|1168231109232
2012-12-31T20:36:43.456+00:00|1168231109236|1168231109232
2012-12-31T22:12:03.074+00:00|1168231109237|1168231109232
2012-12-31T17:52:16.017+00:00|1168231109246|1168231109245
2012-12-31T11:43:15.109+00:00|1168231109259|1168231109255
2012-12-31T20:27:47.241+00:00|1168231109263|1168231109259
2012-12-31T03:44:34.074+00:00|1168231109283|1168231109271
