creationDate|id|locationIP|browserUsed|content|length
2012-10-18T23:11:25.961+00:00|1099511630090|27.116.34.47|Chrome|thx|3
2012-10-18T03:21:10.800+00:00|1099511630092|41.188.97.221|Internet Explorer|ok|2
2012-10-18T04:29:21.752+00:00|1099511630094|203.215.63.48|Firefox|LOL|3
2012-10-18T15:23:36.814+00:00|1099511630195|27.116.34.47|Chrome|About Slavoj Žižek, s Lacan and useAbout Mack the Knife, e Knife or The About League of|87
2012-10-18T12:38:56.578+00:00|1099511630200|27.116.34.47|Chrome|About Britney Spears, . Born in McCombAbout The Notorious B.I.G.,  Coast artist|79
2012-10-18T15:03:49.756+00:00|1099511630202|186.64.7.5|Firefox|LOL|3
2012-10-18T16:09:38.896+00:00|1099511630207|196.1.135.241|Internet Explorer|About Gloria Macapagal-Arroyo, ief Justice HAbout Slavoj Žižek, hicago, ColumAbout The|86
2012-10-18T23:11:43.558+00:00|1099511630208|61.16.136.118|Chrome|About Wales, d in the 19th century. WelsAbout Netherlands, uages, its name literally mAbout Going Under,|105
2012-10-18T16:57:48.943+00:00|1099511631513|189.202.102.202|Firefox|About Fidel Castro,  he took a key role in the CubAbout Smokey Robinson,  former record e|89
2012-10-18T18:45:23.346+00:00|1099511631515|196.29.42.107|Firefox|I see|5
2012-10-18T16:17:17.784+00:00|1099511631520|148.204.226.31|Chrome|no way!|7
