creationDate|Forum.id|Person.id
2012-11-04T03:31:25.404+00:00|1030792151097|35184372088856
2012-11-04T03:31:25.404+00:00|962072674365|35184372088856
2012-11-04T03:31:25.404+00:00|893353197630|35184372088856
2012-11-04T03:31:25.404+00:00|1099511627840|35184372088856
2012-11-04T03:31:25.404+00:00|412316860711|35184372088856
2012-11-04T03:31:25.404+00:00|755914244392|35184372088856
2012-11-04T03:31:25.404+00:00|1030792151337|35184372088856
2012-11-04T03:31:25.404+00:00|687194767658|35184372088856
2012-11-04T03:31:25.404+00:00|618475290924|35184372088856
2012-11-04T03:31:25.404+00:00|962072674607|35184372088856
2012-11-04T03:31:25.404+00:00|893353197872|35184372088856
2012-11-04T03:31:25.404+00:00|343597383985|35184372088856
2012-11-04T03:31:25.404+00:00|824633721138|35184372088856
2012-11-04T03:31:25.404+00:00|412316860723|35184372088856
2012-11-04T03:31:25.404+00:00|687194767668|35184372088856
2012-11-04T03:31:25.404+00:00|962072674614|35184372088856
2012-11-04T17:44:45.609+00:00|1099511628088|16
2012-11-04T17:44:45.609+00:00|1099511628088|8796093022244
2012-11-04T17:44:45.609+00:00|1099511628088|10995116277761
2012-11-04T17:44:45.609+00:00|1099511628088|13194139533342
2012-11-04T17:44:45.609+00:00|1099511628088|13194139533352
2012-11-04T17:44:45.609+00:00|1099511628088|15393162788877
2012-11-04T17:44:45.609+00:00|1099511628088|17592186044461
2012-11-04T17:44:45.609+00:00|1099511628088|24189255811081
2012-11-04T17:44:45.609+00:00|1099511628088|26388279066641
2012-11-04T17:44:45.609+00:00|1099511628088|26388279066668
2012-11-04T17:44:45.609+00:00|1099511628088|28587302322180
2012-11-04T17:44:45.609+00:00|1099511628088|30786325577740
2012-11-04T17:44:45.609+00:00|1099511628088|35184372088856
2012-11-04T03:31:25.404+00:00|274877907257|35184372088856
2012-11-04T03:31:25.404+00:00|412316860730|35184372088856
2012-11-04T03:31:25.404+00:00|755914244412|35184372088856
2012-11-04T03:31:25.404+00:00|687194767678|35184372088856
2012-11-04T03:31:25.404+00:00|687194767679|35184372088856
2012-11-04T03:31:25.404+00:00|1099511628097|35184372088856
2012-11-04T03:31:25.404+00:00|962072674626|35184372088856
2012-11-04T03:31:25.404+00:00|824633721155|35184372088856
2012-11-04T03:31:25.404+00:00|274877907268|35184372088856
2012-11-04T03:31:25.404+00:00|1099511628233|35184372088856
2012-11-04T03:31:25.404+00:00|893353198026|35184372088856
2012-11-04T03:31:25.404+00:00|824633721292|35184372088856
2012-11-04T03:31:25.404+00:00|1099511628237|35184372088856
2012-11-04T03:31:25.404+00:00|824633721295|35184372088856
2012-11-04T03:31:25.404+00:00|618475291088|35184372088856
2012-11-04T03:31:25.404+00:00|893353198033|35184372088856
2012-11-04T03:31:25.404+00:00|412316860885|35184372088856
2012-11-04T03:31:25.404+00:00|824633721302|35184372088856
2012-11-04T03:31:25.404+00:00|618475291097|35184372088856
2012-11-04T03:31:25.404+00:00|893353198042|35184372088856
2012-11-04T03:31:25.404+00:00|893353198043|35184372088856
2012-11-04T03:31:25.404+00:00|481036337628|35184372088856
2012-11-04T03:31:25.404+00:00|824633721310|35184372088856
2012-11-04T03:31:25.404+00:00|893353198047|35184372088856
