creationDate|Comment.id|Place.id
2012-12-25T10:26:40.340+00:00|1168231106737|101
2012-12-25T11:10:57.955+00:00|1168231106738|71
2012-12-25T17:31:20.616+00:00|1168231106739|92
2012-12-25T17:31:30.037+00:00|1168231106740|1
2012-12-25T11:47:41.581+00:00|1168231106741|54
2012-12-25T11:30:34.729+00:00|1168231106742|54
2012-12-25T13:21:48.944+00:00|1168231106743|110
2012-12-25T12:19:43.462+00:00|1168231106744|65
2012-12-25T13:15:08.750+00:00|1168231106748|0
2012-12-25T14:59:35.388+00:00|1168231106752|53
2012-12-25T14:39:01.289+00:00|1168231106753|0
2012-12-25T03:21:25.569+00:00|1168231106782|1
2012-12-25T22:15:38.687+00:00|1168231109180|56
2012-12-25T13:29:28.799+00:00|1168231109252|80
2012-12-25T14:54:04.947+00:00|1168231109255|53
2012-12-25T11:49:56.265+00:00|1168231109256|97
2012-12-25T16:09:57.697+00:00|1168231109257|53
2012-12-25T22:35:34.968+00:00|1168231109261|53
2012-12-25T12:34:59.243+00:00|1168231109270|60
2012-12-25T15:12:40.808+00:00|1168231109276|53
