creationDate|Comment.id|Tag.id
2012-10-30T19:43:59.873+00:00|1099511629211|4849
2012-10-30T19:43:59.873+00:00|1099511629211|5132
2012-10-30T19:43:59.873+00:00|1099511629211|7775
2012-10-30T19:43:59.873+00:00|1099511629211|9078
2012-10-30T19:43:59.873+00:00|1099511629211|9474
2012-10-30T19:43:59.873+00:00|1099511629211|10782
2012-10-30T19:43:59.873+00:00|1099511629211|12269
2012-10-30T16:45:52.233+00:00|1099511630308|777
2012-10-30T16:45:52.233+00:00|1099511630308|9182
2012-10-30T17:01:39.725+00:00|1099511630309|2031
2012-10-30T17:01:39.725+00:00|1099511630309|9182
2012-10-30T16:07:24.775+00:00|1099511630313|777
2012-10-30T16:07:24.775+00:00|1099511630313|9097
2012-10-30T06:22:47.315+00:00|1099511630448|1023
2012-10-30T06:22:47.315+00:00|1099511630448|1521
2012-10-30T06:22:47.315+00:00|1099511630448|2786
2012-10-30T06:22:47.315+00:00|1099511630448|2815
2012-10-30T06:22:47.315+00:00|1099511630448|2892
2012-10-30T06:22:47.315+00:00|1099511630448|15354
