creationDate|Post.id|Place.id
2012-12-10T23:14:27.759+00:00|1168231107661|53
2012-12-10T23:14:28.759+00:00|1168231107662|53
2012-12-10T23:14:29.759+00:00|1168231107663|53
2012-12-10T23:14:30.759+00:00|1168231107664|53
2012-12-10T23:14:31.759+00:00|1168231107665|53
2012-12-10T23:14:32.759+00:00|1168231107666|53
2012-12-10T23:14:33.759+00:00|1168231107667|53
2012-12-10T23:14:34.759+00:00|1168231107668|53
2012-12-10T23:14:35.759+00:00|1168231107669|53
2012-12-10T23:14:36.759+00:00|1168231107670|53
2012-12-10T23:14:37.759+00:00|1168231107671|53
2012-12-10T23:14:38.759+00:00|1168231107672|53
2012-12-10T23:14:39.759+00:00|1168231107673|53
2012-12-10T23:14:40.759+00:00|1168231107674|53
2012-12-10T23:14:41.759+00:00|1168231107675|53
2012-12-10T23:14:42.759+00:00|1168231107676|53
2012-12-10T23:14:43.759+00:00|1168231107677|53
2012-12-10T23:14:44.759+00:00|1168231107678|53
2012-12-10T18:14:45.209+00:00|1168231109526|101
