creationDate|Post.id|Tag.id
2011-10-13T00:27:07.087+00:00|687194767522|804
2011-10-13T00:27:07.087+00:00|687194767522|1524
2011-10-13T00:27:07.087+00:00|687194767522|2019
2011-10-13T00:27:07.087+00:00|687194767522|3030
2011-10-13T00:27:07.087+00:00|687194767522|3037
2012-08-31T18:23:14.296+00:00|1030792151557|139
2012-08-31T18:23:14.296+00:00|1030792151557|1984
2012-08-31T18:23:14.296+00:00|1030792151557|3022
2012-08-31T18:23:14.296+00:00|1030792151557|5699
2012-08-31T18:23:14.296+00:00|1030792151557|6993
2012-08-23T20:06:47.803+00:00|1030792151574|139
2012-08-23T20:06:47.803+00:00|1030792151574|3064
2012-07-02T06:07:43.677+00:00|962072674855|139
2012-07-02T06:07:43.677+00:00|962072674855|2845
2012-07-02T06:07:43.677+00:00|962072674855|2880
2012-07-02T06:07:43.677+00:00|962072674855|3087
2012-07-02T06:07:43.677+00:00|962072674855|6405
2011-02-24T10:39:32.833+00:00|412316861919|461
2011-02-24T10:39:32.833+00:00|412316861919|2034
2012-07-17T07:57:28.406+00:00|1030792152544|461
2012-07-17T07:57:28.406+00:00|1030792152544|5117
2011-10-16T08:48:53.955+00:00|687194768871|1410
2011-10-16T08:48:53.955+00:00|687194768871|2880
2011-10-16T08:48:53.955+00:00|687194768871|2896
2011-10-16T08:48:53.955+00:00|687194768871|5147
2011-10-16T08:48:53.955+00:00|687194768871|5291
2011-10-16T08:48:53.955+00:00|687194768871|6399
2011-10-16T08:48:53.955+00:00|687194768871|9306
2012-12-15T03:33:12.047+00:00|1168231106036|6
2012-12-15T03:33:12.047+00:00|1168231106036|9058
2012-07-08T04:19:47.039+00:00|962072675836|132
2012-07-08T04:19:47.039+00:00|962072675836|3029
2012-08-28T12:46:04.576+00:00|1030792152581|132
2012-08-28T12:46:04.576+00:00|1030792152581|806
2012-08-28T12:46:04.576+00:00|1030792152581|1532
2011-12-29T23:07:19.915+00:00|755914245646|132
2011-12-29T23:07:19.915+00:00|755914245646|798
2011-12-29T23:07:19.915+00:00|755914245646|2783
2011-12-30T20:21:06.982+00:00|755914245647|132
2011-12-30T20:21:06.982+00:00|755914245647|798
2011-12-30T20:21:06.982+00:00|755914245647|2072
2011-12-30T20:21:06.982+00:00|755914245647|2779
2012-06-12T14:23:27.242+00:00|962072675856|132
2012-06-12T14:23:27.242+00:00|962072675856|595
2012-06-12T14:23:27.242+00:00|962072675856|3092
2012-01-04T07:15:06.095+00:00|755914245657|1860
2012-01-04T07:15:06.095+00:00|755914245657|6745
2012-01-04T07:15:06.095+00:00|755914245657|7016
2012-01-04T17:48:51.095+00:00|755914245658|1670
2012-01-04T17:48:51.095+00:00|755914245658|1860
2012-01-04T17:48:51.095+00:00|755914245658|4975
2012-01-04T17:48:51.095+00:00|755914245658|5167
2012-01-04T17:48:51.095+00:00|755914245658|6373
2012-01-04T17:48:51.095+00:00|755914245658|7555
2012-01-04T17:48:51.095+00:00|755914245658|9034
2012-01-04T01:42:06.095+00:00|755914245659|1860
2012-01-04T01:42:06.095+00:00|755914245659|2036
2012-01-04T01:42:06.095+00:00|755914245659|7245
2012-01-04T01:42:06.095+00:00|755914245659|7919
2012-08-24T09:04:43.638+00:00|1030792152797|139
2012-08-24T09:04:43.638+00:00|1030792152797|1545
2012-08-24T09:04:43.638+00:00|1030792152797|2002
2012-08-24T09:04:43.638+00:00|1030792152797|5190
2012-09-16T10:27:53.180+00:00|1099511629550|1521
2012-09-16T10:27:53.180+00:00|1099511629550|7620
2012-09-16T10:27:53.180+00:00|1099511629550|12049
2012-09-16T14:39:53.180+00:00|1099511629559|1521
2012-09-16T14:39:53.180+00:00|1099511629559|5100
2012-09-16T14:39:53.180+00:00|1099511629559|5127
2012-09-16T14:39:53.180+00:00|1099511629559|6385
2011-06-20T10:41:40.802+00:00|549755815794|1410
2011-04-14T05:22:26.271+00:00|481036339059|1410
2012-11-25T21:15:37.013+00:00|1168231106818|0
2012-11-25T21:15:37.013+00:00|1168231106818|1617
2012-11-25T21:15:37.013+00:00|1168231106818|2786
2011-08-18T15:50:21.047+00:00|618475292937|0
2011-08-18T15:50:21.047+00:00|618475292937|2788
2011-08-18T15:50:21.047+00:00|618475292937|3013
2011-11-13T01:00:17.317+00:00|755914246416|0
2011-11-13T01:00:17.317+00:00|755914246416|7025
2012-07-16T17:44:59.527+00:00|1030792153367|0
2012-07-16T17:44:59.527+00:00|1030792153367|2786
