creationDate|id|locationIP|browserUsed|content|length
2012-12-27T06:53:41.974+00:00|1168231107766|27.98.220.136|Firefox|About Samuel Johnson, ught Johnson popularity and success. UntiAbout Theodore Roosevelt, regiment that fought in Cuba. The war herAbout Katharine Hepburn, y (19|160
2012-12-27T17:18:47.731+00:00|1168231107800|41.74.150.41|Internet Explorer|no way!|7
2012-12-27T06:30:57.854+00:00|1168231107808|27.98.220.136|Firefox|About Robert F. Kennedy, e boroughs of Manhattan, QueAbout Yankee Hotel Foxtrot, h|83
2012-12-27T06:32:02.184+00:00|1168231107809|148.204.226.31|Chrome|About 50 Cent, he 2000s and his albAbout Robert F. Kennedy, ffiliate agency of|78
2012-12-27T15:20:53.553+00:00|1168231107813|27.98.220.136|Firefox|right|5
2012-12-27T07:58:18.480+00:00|1168231107859|27.98.220.136|Firefox|maybe|5
2012-12-27T12:31:49.389+00:00|1168231107876|27.98.220.136|Firefox|fine|4
2012-12-27T08:32:03.139+00:00|1168231107880|27.98.220.136|Firefox|roflol|6
2012-12-27T00:38:10.423+00:00|1168231109247|196.1.135.241|Internet Explorer|About Fernando González, dest forehands on the circuit. About Al Capone, hich subsequently|90
2012-12-27T05:36:10.089+00:00|1168231109248|1.88.156.174|Internet Explorer|About Driver 8, sed in September 1985, the song peakedAbout Pretty. Odd.,|74
2012-12-27T02:46:40.084+00:00|1168231109254|31.41.169.140|Chrome|duh|3
2012-12-27T08:56:30.328+00:00|1168231109265|91.223.132.248|Internet Explorer|no way!|7
2012-12-27T03:29:08.712+00:00|1168231109268|31.41.169.140|Chrome|yes|3
2012-12-27T23:50:18.014+00:00|1168231109278|27.122.45.252|Internet Explorer|I see|5
