creationDate|Forum.id|Post.id
2012-12-01T02:14:46.729+00:00|1168231104931|1168231109288
2012-12-01T02:14:47.729+00:00|1168231104931|1168231109289
2012-12-01T02:14:48.729+00:00|1168231104931|1168231109290
2012-12-01T02:14:49.729+00:00|1168231104931|1168231109291
2012-12-01T02:14:50.729+00:00|1168231104931|1168231109292
2012-12-01T02:14:51.729+00:00|1168231104931|1168231109293
2012-12-01T02:14:52.729+00:00|1168231104931|1168231109294
2012-12-01T02:14:53.729+00:00|1168231104931|1168231109295
2012-12-01T02:14:54.729+00:00|1168231104931|1168231109296
2012-12-01T02:14:55.729+00:00|1168231104931|1168231109297
