creationDate|Comment.id|Place.id
2012-10-17T21:47:45.712+00:00|1099511630088|53
2012-10-17T21:48:08.824+00:00|1099511630091|89
2012-10-17T23:14:59.155+00:00|1099511630097|110
2012-10-17T23:37:10.335+00:00|1099511630098|53
2012-10-17T22:45:33.751+00:00|1099511630100|65
2012-10-17T22:25:46.187+00:00|1099511630101|105
2012-10-17T23:49:25.212+00:00|1099511631507|90
2012-10-17T23:52:21.835+00:00|1099511631508|52
2012-10-17T23:45:11.109+00:00|1099511631514|90
2012-10-17T23:59:54.148+00:00|1099511631516|60
