creationDate|deletionDate|Person.id|Comment.id
2012-05-21T01:33:11.946+00:00|2013-01-01T00:00:00.000+00:00|26388279066655|962072675617
2011-10-20T18:50:48.671+00:00|2013-01-01T00:00:00.000+00:00|2199023255557|687194768696
2012-11-03T04:33:43.382+00:00|2013-01-01T00:00:00.000+00:00|24189255811081|1099511629133
2012-08-19T18:14:51.375+00:00|2013-01-01T00:00:00.000+00:00|2199023255594|1030792152633
2012-08-17T09:31:57.111+00:00|2013-01-01T00:00:00.000+00:00|2199023255557|1030792153250
2012-08-11T14:33:38.216+00:00|2012-09-07T21:09:36.645+00:00|2199023255557|1030792153252
2012-08-11T07:02:26.584+00:00|2012-09-07T21:09:36.645+00:00|2199023255573|1030792153252
2012-08-12T15:25:34.593+00:00|2012-09-07T21:09:36.645+00:00|8796093022244|1030792153252
2012-08-11T14:00:11.223+00:00|2012-09-07T21:09:36.645+00:00|24189255811081|1030792153252
2012-08-11T10:06:48.332+00:00|2012-09-07T21:09:36.645+00:00|32985348833329|1030792153252
2012-08-14T04:49:44.448+00:00|2013-01-01T00:00:00.000+00:00|2199023255557|1030792153260
2012-08-15T17:02:34.021+00:00|2013-01-01T00:00:00.000+00:00|2199023255573|1030792153260
2012-08-13T19:27:39.685+00:00|2013-01-01T00:00:00.000+00:00|8796093022244|1030792153260
2012-08-14T04:29:17.202+00:00|2013-01-01T00:00:00.000+00:00|24189255811081|1030792153260
2012-08-15T14:11:26.633+00:00|2013-01-01T00:00:00.000+00:00|32985348833329|1030792153260
2012-12-28T15:06:59.291+00:00|2013-01-01T00:00:00.000+00:00|13194139533355|1168231106742
2012-12-30T21:02:27.020+00:00|2013-01-01T00:00:00.000+00:00|8796093022234|1168231106752
2012-12-28T00:45:34.702+00:00|2013-01-01T00:00:00.000+00:00|17592186044461|1168231106752
2012-12-27T23:21:56.992+00:00|2013-01-01T00:00:00.000+00:00|6597069766702|1168231106752
2012-12-26T14:02:29.857+00:00|2013-01-01T00:00:00.000+00:00|21990232555526|1168231106752
2012-12-31T07:13:34.597+00:00|2013-01-01T00:00:00.000+00:00|21990232555527|1168231106752
2012-12-31T01:46:45.722+00:00|2013-01-01T00:00:00.000+00:00|26388279066641|1168231106752
2012-12-28T13:38:31.487+00:00|2013-01-01T00:00:00.000+00:00|32985348833329|1168231106752
2012-12-31T04:10:48.026+00:00|2013-01-01T00:00:00.000+00:00|37383395344394|1168231106752
2012-12-29T09:29:43.598+00:00|2013-01-01T00:00:00.000+00:00|35184372088871|1168231106752
2012-12-29T22:05:09.732+00:00|2013-01-01T00:00:00.000+00:00|10995116277783|1168231106752
2012-12-31T06:38:37.740+00:00|2013-01-01T00:00:00.000+00:00|16|1168231106752
2012-12-30T22:32:31.966+00:00|2013-01-01T00:00:00.000+00:00|10995116277808|1168231106752
2012-12-26T06:24:11.939+00:00|2013-01-01T00:00:00.000+00:00|35184372088834|1168231106752
