creationDate|id|locationIP|browserUsed|content|length
2012-12-19T23:17:00.416+00:00|1168231106785|27.131.221.93|Internet Explorer|cool|4
2012-12-19T23:15:08.690+00:00|1168231106787|27.116.34.47|Chrome|duh|3
2012-12-19T08:44:15.904+00:00|1168231106839|27.116.34.47|Chrome|right|5
2012-12-19T13:30:31.598+00:00|1168231106840|46.154.44.101|Firefox|About Katarina Srebotnik, .80 m, weighs 65 kg and lives in Dubai. She About Saving All|86
2012-12-19T15:59:00.485+00:00|1168231106841|115.186.113.189|Safari|no|2
2012-12-19T10:51:44.616+00:00|1168231106842|31.24.165.15|Firefox|About Katarina Srebotnik, ves in Dubai. She reached a career-higAbout Robi|74
2012-12-19T08:55:22.237+00:00|1168231106843|58.145.168.54|Chrome|no|2
2012-12-19T13:30:52.048+00:00|1168231106844|31.185.10.92|Internet Explorer|About Brian Eno, n related to recordings by English electronic musician, music the|82
2012-12-19T20:27:54.742+00:00|1168231106845|41.74.150.41|Firefox|roflol|6
2012-12-19T14:09:50.156+00:00|1168231106846|1.2.2.77|Firefox|no|2
2012-12-19T14:01:06.953+00:00|1168231106847|197.220.203.36|Firefox|maybe|5
2012-12-19T17:36:37.628+00:00|1168231106848|27.116.34.47|Chrome|About John Milton, scholarly man of letters, and a civil servant for the Commonwealth (republic) of England under Oliver Cromwell. He wrote at|143
2012-12-19T11:57:55.099+00:00|1168231106850|197.220.203.36|Firefox|ok|2
