creationDate|deletionDate|Comment.id|Tag.id
2012-07-02T09:01:05.378+00:00|2013-01-01T00:00:00.000+00:00|962072674828|139
2012-07-02T09:01:05.378+00:00|2013-01-01T00:00:00.000+00:00|962072674828|3022
2012-07-02T09:01:05.378+00:00|2013-01-01T00:00:00.000+00:00|962072674828|5097
2012-07-02T09:01:05.378+00:00|2013-01-01T00:00:00.000+00:00|962072674828|6993
2012-07-02T09:01:05.378+00:00|2013-01-01T00:00:00.000+00:00|962072674828|7557
2012-07-02T09:01:05.378+00:00|2013-01-01T00:00:00.000+00:00|962072674828|10571
2012-07-19T02:26:23.011+00:00|2013-01-01T00:00:00.000+00:00|1030792151567|1771
2012-07-19T02:26:23.011+00:00|2013-01-01T00:00:00.000+00:00|1030792151567|3022
2012-07-19T02:26:23.011+00:00|2013-01-01T00:00:00.000+00:00|1030792151567|6424
2012-07-19T02:26:23.011+00:00|2013-01-01T00:00:00.000+00:00|1030792151567|7108
2012-07-19T02:26:23.011+00:00|2013-01-01T00:00:00.000+00:00|1030792151567|10571
2012-11-15T08:40:45.161+00:00|2013-01-01T00:00:00.000+00:00|1168231105041|2830
2012-11-15T08:40:45.161+00:00|2013-01-01T00:00:00.000+00:00|1168231105041|3104
2012-11-15T08:40:45.161+00:00|2013-01-01T00:00:00.000+00:00|1168231105041|7108
2012-11-15T08:40:45.161+00:00|2013-01-01T00:00:00.000+00:00|1168231105041|8365
2012-07-02T06:10:58.455+00:00|2013-01-01T00:00:00.000+00:00|962072674836|1984
2012-07-02T06:10:58.455+00:00|2013-01-01T00:00:00.000+00:00|962072674836|3022
2012-07-02T06:10:58.455+00:00|2013-01-01T00:00:00.000+00:00|962072674836|3080
2012-07-02T06:10:58.455+00:00|2013-01-01T00:00:00.000+00:00|962072674836|5699
2012-07-02T06:10:58.455+00:00|2013-01-01T00:00:00.000+00:00|962072674836|8348
2012-07-02T06:10:58.455+00:00|2013-01-01T00:00:00.000+00:00|962072674836|14856
2012-07-19T06:31:35.870+00:00|2013-01-01T00:00:00.000+00:00|1030792151575|1771
2012-07-19T06:31:35.870+00:00|2013-01-01T00:00:00.000+00:00|1030792151575|2960
2012-07-19T06:31:35.870+00:00|2013-01-01T00:00:00.000+00:00|1030792151575|5754
2012-07-19T06:31:35.870+00:00|2013-01-01T00:00:00.000+00:00|1030792151575|6427
2012-07-19T06:31:35.870+00:00|2013-01-01T00:00:00.000+00:00|1030792151575|7108
2012-07-19T06:31:35.870+00:00|2013-01-01T00:00:00.000+00:00|1030792151575|10571
2012-07-31T07:31:47.056+00:00|2013-01-01T00:00:00.000+00:00|1030792151578|139
2012-07-31T07:31:47.056+00:00|2013-01-01T00:00:00.000+00:00|1030792151578|9613
2012-08-27T15:57:29.444+00:00|2013-01-01T00:00:00.000+00:00|1030792151579|139
2012-08-27T15:57:29.444+00:00|2013-01-01T00:00:00.000+00:00|1030792151579|3041
2012-07-31T10:24:37.798+00:00|2013-01-01T00:00:00.000+00:00|1030792151582|139
2012-07-31T10:24:37.798+00:00|2013-01-01T00:00:00.000+00:00|1030792151582|5140
2012-08-27T16:27:50.488+00:00|2013-01-01T00:00:00.000+00:00|1030792151583|2028
2012-08-28T15:39:47.552+00:00|2013-01-01T00:00:00.000+00:00|1030792151587|3040
2012-08-27T16:02:23.482+00:00|2013-01-01T00:00:00.000+00:00|1030792151588|139
2012-08-27T16:02:23.482+00:00|2013-01-01T00:00:00.000+00:00|1030792151588|13584
2012-10-25T20:39:16.383+00:00|2013-01-01T00:00:00.000+00:00|1099511629079|461
2012-10-25T20:39:16.383+00:00|2013-01-01T00:00:00.000+00:00|1099511629079|5247
2012-10-25T21:26:07.642+00:00|2013-01-01T00:00:00.000+00:00|1099511629081|461
2012-10-25T21:26:07.642+00:00|2013-01-01T00:00:00.000+00:00|1099511629081|11259
2012-10-25T17:05:19.616+00:00|2013-01-01T00:00:00.000+00:00|1099511629082|775
2012-05-17T20:28:59.395+00:00|2013-01-01T00:00:00.000+00:00|962072675616|461
2012-05-17T20:28:59.395+00:00|2013-01-01T00:00:00.000+00:00|962072675616|2782
2012-05-17T20:28:59.395+00:00|2013-01-01T00:00:00.000+00:00|962072675616|3029
2012-05-17T20:28:59.395+00:00|2013-01-01T00:00:00.000+00:00|962072675616|9751
2012-05-18T00:59:18.193+00:00|2013-01-01T00:00:00.000+00:00|962072675617|461
2012-05-18T00:59:18.193+00:00|2013-01-01T00:00:00.000+00:00|962072675617|1985
2012-05-18T00:59:18.193+00:00|2013-01-01T00:00:00.000+00:00|962072675617|6764
2012-10-02T17:00:10.085+00:00|2013-01-01T00:00:00.000+00:00|1099511629090|205
2012-10-02T17:00:10.085+00:00|2013-01-01T00:00:00.000+00:00|1099511629090|1985
2012-10-02T17:00:10.085+00:00|2013-01-01T00:00:00.000+00:00|1099511629090|6764
2012-10-02T17:00:10.085+00:00|2013-01-01T00:00:00.000+00:00|1099511629090|7505
2012-07-13T19:54:52.562+00:00|2013-01-01T00:00:00.000+00:00|1030792152357|9289
2012-07-13T19:54:52.562+00:00|2013-01-01T00:00:00.000+00:00|1030792152357|13768
2012-07-13T23:03:08.231+00:00|2013-01-01T00:00:00.000+00:00|1030792152359|13221
2012-07-13T23:03:08.231+00:00|2013-01-01T00:00:00.000+00:00|1030792152359|13768
2012-10-02T21:49:32.268+00:00|2013-01-01T00:00:00.000+00:00|1099511629097|7510
2012-10-02T21:49:32.268+00:00|2013-01-01T00:00:00.000+00:00|1099511629097|13768
2012-02-28T15:02:57.887+00:00|2013-01-01T00:00:00.000+00:00|824633722155|4
2012-02-28T15:02:57.887+00:00|2013-01-01T00:00:00.000+00:00|824633722155|13768
2012-02-28T15:02:57.887+00:00|2013-01-01T00:00:00.000+00:00|824633722155|13816
2012-07-13T19:55:24.460+00:00|2013-01-01T00:00:00.000+00:00|1030792152366|5289
2012-07-13T19:55:24.460+00:00|2013-01-01T00:00:00.000+00:00|1030792152366|9289
2012-07-13T16:53:32.534+00:00|2013-01-01T00:00:00.000+00:00|1030792152367|2893
