creationDate|Comment.id|Person.id
2012-10-14T16:05:42.819+00:00|1099511629116|24189255811081
2012-10-14T06:30:44.554+00:00|1099511629136|24189255811081
2012-10-14T10:00:50.559+00:00|1099511629139|24189255811081
2012-10-14T17:26:24.774+00:00|1099511629191|8796093022237
2012-10-14T19:12:25.625+00:00|1099511629194|26388279066668
2012-10-14T18:12:55.573+00:00|1099511629195|14
2012-10-14T04:29:13.508+00:00|1099511629205|8796093022237
2012-10-14T06:38:54.866+00:00|1099511629206|26388279066658
2012-10-14T04:30:18.744+00:00|1099511629207|13194139533355
2012-10-14T08:32:39.961+00:00|1099511629208|8796093022237
2012-10-14T04:31:43.047+00:00|1099511629210|8796093022237
2012-10-14T16:20:26.553+00:00|1099511629224|2199023255594
2012-10-14T20:19:53.440+00:00|1099511629228|26388279066658
2012-10-14T03:15:12.850+00:00|1099511629229|26388279066668
2012-10-14T03:10:23.615+00:00|1099511629232|13194139533355
2012-10-14T23:31:43.792+00:00|1099511630139|13194139533352
2012-10-14T21:20:30.879+00:00|1099511630140|28587302322223
2012-10-14T18:37:35.208+00:00|1099511630141|32
2012-10-14T20:50:26.702+00:00|1099511630144|8796093022237
2012-10-14T18:56:06.295+00:00|1099511630146|16
2012-10-14T21:36:23.581+00:00|1099511630147|2199023255573
2012-10-14T18:31:06.823+00:00|1099511630148|28587302322196
