creationDate|Comment.id|Place.id
2012-12-07T13:04:33.154+00:00|1168231106716|0
2012-12-07T16:07:29.199+00:00|1168231106718|4
2012-12-07T23:28:44.346+00:00|1168231106719|4
2012-12-07T18:41:35.231+00:00|1168231106762|89
2012-12-07T13:31:32.310+00:00|1168231106769|50
2012-12-07T17:11:10.224+00:00|1168231106792|50
2012-12-07T21:19:28.945+00:00|1168231106956|50
2012-12-07T16:09:22.450+00:00|1168231106997|50
2012-12-07T18:42:19.725+00:00|1168231107160|57
2012-12-07T18:45:09.825+00:00|1168231107161|1
2012-12-07T16:50:44.338+00:00|1168231107163|0
2012-12-07T18:41:47.874+00:00|1168231107165|52
2012-12-07T19:47:09.076+00:00|1168231107167|4
