deletionDate|Comment.id|Tag.id
2012-12-24T01:09:38.001+00:00|1168231106853|9125
2012-12-24T01:09:38.001+00:00|1168231106855|1024
2012-12-24T01:09:38.001+00:00|1168231106857|2020
2012-12-24T01:09:38.001+00:00|1168231106859|3055
2012-12-24T01:09:38.001+00:00|1168231106859|9125
2012-12-24T01:09:38.001+00:00|1168231106864|1024
2012-12-24T01:09:38.001+00:00|1168231106864|7565
2012-12-24T01:09:38.001+00:00|1168231106866|1024
2012-12-24T01:09:38.001+00:00|1168231106866|5301
2012-12-24T01:09:38.001+00:00|1168231106866|7565
2012-12-24T01:09:38.001+00:00|1168231106869|1024
2012-12-24T01:09:38.001+00:00|1168231106869|9279
