creationDate|id|locationIP|browserUsed|content|length
2012-10-26T00:42:59.398+00:00|1099511629084|31.182.127.125|Internet Explorer|good|4
2012-10-26T15:05:44.438+00:00|1099511630303|31.209.42.207|Internet Explorer|no|2
2012-10-26T21:58:14.021+00:00|1099511630345|192.100.158.95|Internet Explorer|great|5
2012-10-26T14:12:52.180+00:00|1099511630346|1.2.2.77|Firefox|good|4
2012-10-26T14:21:10.123+00:00|1099511630348|31.209.42.207|Internet Explorer|About Albert Einstein,  laws of the electromagnetic field. This ledAbout Roman Empire,|87
2012-10-26T14:59:49.241+00:00|1099511630349|91.223.132.248|Internet Explorer|About Protectorate of Bohemia and Moravia,  Moravia (German: Protektorat Böhmen u|81
2012-10-26T15:24:18.117+00:00|1099511630351|190.6.255.8|Internet Explorer|no way!|7
2012-10-26T15:06:54.303+00:00|1099511630352|27.112.88.106|Internet Explorer|great|5
2012-10-26T14:22:11.269+00:00|1099511630353|1.2.2.77|Firefox|duh|3
2012-10-26T16:00:31.331+00:00|1099511630354|49.50.77.195|Firefox|I see|5
2012-10-26T19:26:38.101+00:00|1099511630355|31.182.127.125|Internet Explorer|About Calvin Coolidge, he United States (1923–1929). A RepublicaAbout Protectorat|81
2012-10-26T19:26:48.964+00:00|1099511630356|27.112.88.106|Internet Explorer|yes|3
2012-10-26T19:31:48.229+00:00|1099511630358|31.209.42.207|Internet Explorer|maybe|5
2012-10-26T22:42:24.866+00:00|1099511630452|190.94.32.14|Firefox|maybe|5
2012-10-26T13:28:32.447+00:00|1099511630533|31.192.109.124|Internet Explorer|thx|3
2012-10-26T18:06:19.237+00:00|1099511630553|203.215.63.48|Firefox|About Khalid Sheikh Mohammed, ch 2007, heAbout Steve Martin, ust 14, 194Abo|75
2012-10-26T20:05:23.605+00:00|1099511630554|27.122.45.252|Internet Explorer|no way!|7
2012-10-26T18:09:52.334+00:00|1099511630559|31.24.100.159|Firefox|fine|4
2012-10-26T22:32:00.921+00:00|1099511630560|186.64.7.5|Firefox|fine|4
