deletionDate|Post.id|Place.id
2012-12-02T08:02:39.941+00:00|824633721809|92
2012-12-02T08:02:39.941+00:00|824633721810|92
2012-12-02T08:02:39.941+00:00|824633721811|92
2012-12-02T08:02:39.941+00:00|824633721812|92
2012-12-02T08:02:39.941+00:00|824633721813|92
2012-12-02T08:02:39.941+00:00|824633721814|92
2012-12-02T08:02:39.941+00:00|824633721815|92
2012-12-02T08:02:39.941+00:00|824633721816|92
2012-12-02T08:02:39.941+00:00|824633721817|92
2012-12-02T08:02:39.941+00:00|824633721818|92
2012-12-02T08:02:39.941+00:00|824633721819|92
2012-12-02T08:02:39.941+00:00|824633721820|92
2012-12-02T08:02:39.941+00:00|824633721821|92
2012-12-02T08:02:39.941+00:00|824633721822|92
2012-12-02T08:02:39.941+00:00|824633721823|92
2012-12-02T08:02:39.941+00:00|824633721824|92
2012-12-02T08:02:39.941+00:00|824633721826|92
2012-12-02T08:02:39.941+00:00|824633721827|92
