creationDate|id|locationIP|browserUsed|content|length
2012-12-24T06:33:29.979+00:00|1168231106771|41.188.97.221|Internet Explorer|About Etruscan civilization, rs to their heartland, and Etruria, which can refer to|84
2012-12-24T06:41:24.046+00:00|1168231106773|58.145.168.54|Chrome|About New France, d Miquelon, to Great Britain and Spain atAbout Etruscan civiliz|81
2012-12-24T10:56:45.804+00:00|1168231106774|31.170.121.115|Internet Explorer|yes|3
2012-12-24T07:31:41.242+00:00|1168231106775|49.206.89.61|Safari|I see|5
2012-12-24T02:34:00.543+00:00|1168231106776|31.185.10.92|Internet Explorer|no way!|7
2012-12-24T10:12:48.008+00:00|1168231106777|203.215.63.48|Firefox|About Sexy MF, ds and Pearls. The UK CD single had a third track, Daddy Pop, also from Di|89
2012-12-24T10:51:08.322+00:00|1168231106778|77.245.239.11|Firefox|About Sean Connery, n Alive by People magazine and in 1999, at age 69, he was vo|80
2012-12-24T01:29:39.418+00:00|1168231106779|24.38.139.231|Firefox|thx|3
2012-12-24T10:13:35.517+00:00|1168231106780|49.50.77.195|Firefox|About Babe Ruth,  Ruth ushered in the live-ball era, as hisAbout Sexy MF, r, Jr. (g|83
2012-12-24T11:14:07.007+00:00|1168231106781|103.1.176.97|Safari|maybe|5
2012-12-24T10:30:32.404+00:00|1168231106816|46.154.44.101|Firefox|About Katarina Srebotnik, 5 kg and lives in Dubai. She reached a career-high ranking of No. 20 on the Sony EricssoAbout Nicole Kidman, , Cold Mountain (2003), The Interpreter|174
2012-12-24T13:16:20.011+00:00|1168231106817|31.192.109.124|Internet Explorer|About Yoko Ono, Japanese artist, author, and peace activist, known for her work i|81
2012-12-24T23:32:04.454+00:00|1168231106818|41.223.177.12|Safari|great|5
2012-12-24T23:38:14.186+00:00|1168231106819|103.1.176.97|Safari|ok|2
2012-12-24T19:54:31.665+00:00|1168231106820|27.98.220.136|Firefox|About Augustine of Hippo, religious order; his memorial is celebrated 28 August,|81
2012-12-24T13:21:45.221+00:00|1168231106821|31.41.169.140|Chrome|right|5
2012-12-24T10:19:41.864+00:00|1168231106822|1.88.156.174|Internet Explorer|duh|3
2012-12-24T06:00:49.281+00:00|1168231107131|46.154.44.101|Firefox|LOL|3
2012-12-24T20:16:21.517+00:00|1168231109240|31.192.109.124|Internet Explorer|cool|4
2012-12-24T23:09:56.669+00:00|1168231109241|61.16.136.118|Chrome|no|2
2012-12-24T18:28:38.183+00:00|1168231109243|193.104.227.215|Internet Explorer|yes|3
