creationDate|id|locationIP|browserUsed|content|length
2012-12-26T08:59:58.302+00:00|1168231106745|192.190.31.253|Chrome|About Killing Machine, ds image. Killing Machine was retitled Hell Bent for Leather for US release, as the|106
2012-12-26T09:00:09.054+00:00|1168231106746|31.41.169.140|Chrome|duh|3
2012-12-26T09:32:13.233+00:00|1168231106749|31.24.100.159|Firefox|About Republic of Macedonia,  initiators of the 2001 insurgency in Macedon|74
2012-12-26T11:03:29.601+00:00|1168231106750|24.38.139.231|Firefox|roflol|6
2012-12-26T19:34:47.918+00:00|1168231106751|148.204.226.31|Chrome|duh|3
2012-12-26T19:07:40.302+00:00|1168231107804|27.98.220.136|Firefox|About Fidel Castro, lities to Vice-President Raúl CAbout Robert F. Kennedy, n New York Cit|90
2012-12-26T23:17:27.060+00:00|1168231107805|31.170.121.115|Internet Explorer|thanks|6
2012-12-26T19:30:18.943+00:00|1168231107806|31.170.121.115|Internet Explorer|cool|4
2012-12-26T19:07:53.385+00:00|1168231107807|31.209.42.207|Internet Explorer|About Fidel Castro, e transformation of CuAbout Dmitri Shostakovich, sensk District (19|87
2012-12-26T17:36:57.938+00:00|1168231107845|27.98.220.136|Firefox|duh|3
2012-12-26T20:06:43.048+00:00|1168231107855|27.98.220.136|Firefox|right|5
2012-12-26T20:24:33.014+00:00|1168231107856|27.98.220.136|Firefox|no way!|7
2012-12-26T18:40:55.216+00:00|1168231107865|27.98.220.136|Firefox|great|5
2012-12-26T17:34:54.872+00:00|1168231107872|27.98.220.136|Firefox|maybe|5
2012-12-26T17:29:06.806+00:00|1168231107874|27.98.220.136|Firefox|ok|2
2012-12-26T22:51:27.428+00:00|1168231109239|192.190.31.253|Chrome|About Fernando González, e is arguably Chile's best tennis playAbout Prett|74
2012-12-26T23:19:08.632+00:00|1168231109242|41.203.147.168|Internet Explorer|good|4
2012-12-26T21:18:36.561+00:00|1168231109260|31.170.121.115|Internet Explorer|ok|2
2012-12-26T03:49:27.196+00:00|1168231109271|148.204.226.31|Chrome|About Fernando González, nal at the 2007 Australian Open, losing to top-ranked Roger FedererAbout Garth Brooks, ey (overall is third|133
2012-12-26T12:36:50.289+00:00|1168231109275|31.185.10.92|Internet Explorer|thanks|6
2012-12-26T03:50:11.274+00:00|1168231109277|49.206.89.61|Safari|LOL|3
