creationDate|Comment.id|Place.id
2012-12-26T08:59:58.302+00:00|1168231106745|49
2012-12-26T09:00:09.054+00:00|1168231106746|92
2012-12-26T09:32:13.233+00:00|1168231106749|50
2012-12-26T11:03:29.601+00:00|1168231106750|57
2012-12-26T19:34:47.918+00:00|1168231106751|53
2012-12-26T19:07:40.302+00:00|1168231107804|1
2012-12-26T23:17:27.060+00:00|1168231107805|48
2012-12-26T19:30:18.943+00:00|1168231107806|48
2012-12-26T19:07:53.385+00:00|1168231107807|101
2012-12-26T17:36:57.938+00:00|1168231107845|1
2012-12-26T20:06:43.048+00:00|1168231107855|1
2012-12-26T20:24:33.014+00:00|1168231107856|1
2012-12-26T18:40:55.216+00:00|1168231107865|1
2012-12-26T17:34:54.872+00:00|1168231107872|1
2012-12-26T17:29:06.806+00:00|1168231107874|1
2012-12-26T22:51:27.428+00:00|1168231109239|49
2012-12-26T23:19:08.632+00:00|1168231109242|90
2012-12-26T21:18:36.561+00:00|1168231109260|48
2012-12-26T03:49:27.196+00:00|1168231109271|53
2012-12-26T12:36:50.289+00:00|1168231109275|56
2012-12-26T03:50:11.274+00:00|1168231109277|0
