1356483034958|1356483044966|true|1168231106736|0.0.0.5|2|fine|4
1356431200340|1356998400000|false|1168231106737|0.0.0.5|0|About Billie Holiday, ia, MGMAssociated acts Ella Fitzgerald, Sarah Vaughan, Lena Horn|86
1356433857955|1356998400000|false|1168231106738|0.0.0.241|1|ok|2
1356456680616|1356998400000|false|1168231106739|0.0.0.125|1|great|5
1356456690037|1356998400000|false|1168231106740|0.0.0.93|1|ok|2
1356436061581|1356998400000|false|1168231106741|0.0.0.129|2|About Love You Live, e and is dedicated to the memory of audio engineer Keith H|79
1356435034729|1356998400000|false|1168231106742|0.0.0.189|3|About Katarina Srebotnik, nking of No. 20 on the Sony Ericsson WTA TAbout Kate Bus|82
1356441708944|1356998400000|false|1168231106743|0.0.0.36|2|About Russia, sh water. The nation's history began with that of the East Sl|75
1356437983462|1356998400000|false|1168231106744|0.0.0.48|2|no way!|7
1356512398302|1356998400000|false|1168231106745|0.0.0.253|0|About Killing Machine, ds image. Killing Machine was retitled Hell Bent for Leather for US release, as the|106
1356512409054|1356998400000|false|1168231106746|0.0.0.140|0|duh|3
1356468960694|1356468970694|true|1168231106747|0.0.0.95|1|About United Nations, ); the Economic and Social Council (for assisting in prom|79
1356441308750|1356998400000|false|1168231106748|0.0.0.195|2|good|4
1356514333233|1356998400000|false|1168231106749|0.0.0.159|2|About Republic of Macedonia,  initiators of the 2001 insurgency in Macedon|74
1356519809601|1356998400000|false|1168231106750|0.0.0.231|2|roflol|6
1356550487918|1356998400000|false|1168231106751|0.0.0.31|0|duh|3
1356447575388|1356998400000|false|1168231106752|0.0.0.202|2|About Billie Holiday, low, and Lady Sings the Blues. She also becameAbout Anthony Hopkins,|90
1356446341289|1356998400000|false|1168231106753|0.0.0.47|0|no|2
1354762877093|1355269512518|false|1168231106755|0.0.0.195|2|maybe|5
1355205369977|1355269512518|false|1168231106756|0.0.0.54|0|yes|3
1354778496318|1355269512518|false|1168231106757|0.0.0.115|1|About Katarina Srebotnik, 1981 in Slovenj Gradec) is a Slovenian profesAbout The Wicked|88
1354802418314|1355269512518|false|1168231106758|0.0.0.107|2|About Katarina Srebotnik, ai. She reached a career-hAbout The Devil Went Do|75
1354758993108|1355269512518|false|1168231106759|0.0.0.202|2|roflol|6
1354759664416|1355269512518|false|1168231106760|0.0.0.11|2|About Katarina Srebotnik,  m, weighs 65 kg and lives in Dubai. SAbout Image|75
1354830493413|1355269512518|false|1168231106761|0.0.0.117|1|About Every Little Bit Hurts,  of Holloway's trademark singles and would spark remakes by acts like The Small Faces and thAbout The Wicked Symphony, f a box set, with the two albums|182
1354905695231|1355269512518|false|1168231106762|0.0.0.15|2|About A Rush of Blood to the Head, ge commercial legacy, an ongoing pattern that About Eve|90
1354968779326|1355269512518|false|1168231106763|0.0.0.188|1|About Winston Churchill, ty, a move widely seen as creating deflationAbout A Rush of Bl|87
1354748332145|1356998400000|false|1168231106766|0.0.0.77|2|great|5
1354763622846|1356998400000|false|1168231106767|0.0.0.31|0|great|5
1354725223765|1356998400000|false|1168231106768|0.0.0.241|1|About Arthur Conan Doyle, allenger. He was a prolific writer whose other w|74
1354887092310|1356998400000|false|1168231106769|0.0.0.249|1|thanks|6
1356330809979|1356998400000|false|1168231106771|0.0.0.221|1|About Etruscan civilization, rs to their heartland, and Etruria, which can refer to|84
1356269862768|1356998400000|false|1168231106772|0.0.0.41|2|right|5
1356331284046|1356998400000|false|1168231106773|0.0.0.54|0|About New France, d Miquelon, to Great Britain and Spain atAbout Etruscan civiliz|81
1356346605804|1356998400000|false|1168231106774|0.0.0.115|1|yes|3
1356334301242|1356998400000|false|1168231106775|0.0.0.61|3|I see|5
1356316440543|1356998400000|false|1168231106776|0.0.0.92|1|no way!|7
1356343968008|1356998400000|false|1168231106777|0.0.0.48|2|About Sexy MF, ds and Pearls. The UK CD single had a third track, Daddy Pop, also from Di|89
1356346268322|1356998400000|false|1168231106778|0.0.0.11|2|About Sean Connery, n Alive by People magazine and in 1999, at age 69, he was vo|80
1356312579418|1356998400000|false|1168231106779|0.0.0.231|2|thx|3
1356344015517|1356998400000|false|1168231106780|0.0.0.195|2|About Babe Ruth,  Ruth ushered in the live-ball era, as hisAbout Sexy MF, r, Jr. (g|83
1356347647007|1356998400000|false|1168231106781|0.0.0.97|3|maybe|5
1356405685569|1356998400000|false|1168231106782|0.0.0.136|2|About Maurice Ravel, osity from the performer, and his orcheAbout Etruscan ci|77
1356011161068|1356998400000|false|1168231106784|0.0.0.125|1|yes|3
