creationDate|Person1.id|Person2.id
2011-07-26T21:41:34.142+00:00|19791209299968|19791209300009
2011-07-26T21:41:34.142+00:00|19791209299968|24189255811081
2012-01-02T01:21:20.107+00:00|24189255811104|26388279066664
2011-12-29T07:56:39.032+00:00|24189255811081|28587302322180
2011-12-29T07:56:39.032+00:00|24189255811081|28587302322196
2010-01-19T13:51:10.863+00:00|27|10995116277761
2010-01-19T13:51:10.863+00:00|27|28587302322180
2011-07-19T06:51:09.287+00:00|19791209299997|24189255811081
2010-04-18T01:27:21.494+00:00|2199023255573|6597069766699
2011-03-07T01:25:47.322+00:00|15393162788910|28587302322210
2011-02-28T08:13:29.086+00:00|13194139533343|28587302322180
2011-02-28T08:13:29.086+00:00|13194139533343|28587302322210
2012-03-30T10:11:12.788+00:00|28587302322180|30786325577731
2010-06-22T21:48:51.442+00:00|4398046511148|19791209300010
2010-06-22T21:48:51.442+00:00|4398046511148|24189255811081
2010-06-22T21:48:51.442+00:00|4398046511148|28587302322180
2010-03-24T18:14:04.882+00:00|2199023255557|6597069766699
2010-03-24T18:14:04.882+00:00|2199023255557|24189255811081
2010-12-24T05:25:34.086+00:00|10995116277782|26388279066664
2010-12-24T05:25:34.086+00:00|10995116277782|28587302322210
2010-01-03T15:10:31.499+00:00|14|4398046511148
2010-10-28T05:49:29.470+00:00|8796093022238|19791209300010
2010-10-28T05:49:29.470+00:00|8796093022238|24189255811081
2011-10-17T04:08:45.182+00:00|21990232555527|24189255811081
2010-01-31T13:13:03.929+00:00|16|13194139533343
2010-01-31T13:13:03.929+00:00|16|19791209300010
2010-01-31T13:13:03.929+00:00|16|26388279066664
2010-01-31T13:13:03.929+00:00|16|28587302322180
2012-02-20T19:43:50.441+00:00|26388279066664|28587302322180
2012-02-20T19:43:50.441+00:00|26388279066664|28587302322210
2012-01-12T23:55:02.878+00:00|26388279066641|26388279066664
2012-01-12T23:55:02.878+00:00|26388279066641|28587302322180
2010-11-13T15:50:09.443+00:00|10995116277761|13194139533343
2010-11-13T15:50:09.443+00:00|10995116277761|19791209300010
2010-11-13T15:50:09.443+00:00|10995116277761|28587302322210
2011-08-22T08:51:56.139+00:00|19791209300009|24189255811081
2011-08-22T08:51:56.139+00:00|19791209300009|28587302322180
2011-08-21T06:11:15.212+00:00|19791209300010|24189255811104
2011-08-21T06:11:15.212+00:00|19791209300010|24189255811121
2011-08-21T06:11:15.212+00:00|19791209300010|26388279066641
2011-08-21T06:11:15.212+00:00|19791209300010|26388279066664
2011-08-21T06:11:15.212+00:00|19791209300010|28587302322180
2011-08-21T06:11:15.212+00:00|19791209300010|28587302322196
2011-08-21T06:11:15.212+00:00|19791209300010|28587302322210
2010-08-31T00:24:34.501+00:00|6597069766699|19791209300009
2010-08-31T00:24:34.501+00:00|6597069766699|24189255811081
2010-08-31T00:24:34.501+00:00|6597069766699|24189255811121
2011-08-04T04:47:58.173+00:00|19791209299987|26388279066664
2011-03-12T15:40:42.861+00:00|15393162788877|19791209300010
2010-07-11T03:44:38.819+00:00|6597069766701|19791209300010
2010-07-11T03:44:38.819+00:00|6597069766701|28587302322210
2010-01-09T18:37:17.970+00:00|47|28587302322180
