creationDate|id|locationIP|browserUsed|content|length
2012-12-29T02:47:04.434+00:00|1168231109182|203.215.63.48|Firefox|no way!|7
2012-12-29T00:42:26.495+00:00|1168231109187|24.38.139.231|Firefox|no|2
2012-12-29T10:33:24.177+00:00|1168231109192|1.88.156.174|Internet Explorer|About Charles Mingus and Friends in Concert, zz bassist and composer Charles Mingus re|86
2012-12-29T10:39:41.674+00:00|1168231109193|27.131.221.93|Internet Explorer|right|5
2012-12-29T14:31:34.431+00:00|1168231109198|148.204.226.31|Chrome|About Fernando González, Andy Roddick, Juan Carlos Ferrero, Carlos Moyà, Gustavo Kuerten, Marat Safin, and Pete SamAbout Al Capone, cated to smuggling and bootlegging liquor, and|178
2012-12-29T23:19:01.773+00:00|1168231109199|27.122.45.252|Internet Explorer|yes|3
2012-12-29T10:33:55.363+00:00|1168231109200|31.192.132.124|Firefox|About Stan Lee, tart-up that could function as the posterAbout Charles Mingus and|81
2012-12-29T21:06:17.015+00:00|1168231109201|31.209.42.207|Internet Explorer|no|2
2012-12-29T12:02:24.224+00:00|1168231109204|186.64.7.5|Firefox|I see|5
2012-12-29T22:15:20.013+00:00|1168231109258|31.209.42.207|Internet Explorer|About Finland, fought World War II as essentially three About Rhinestone Cowboy,|81
2012-12-29T23:15:24.582+00:00|1168231109262|31.209.179.5|Firefox|LOL|3
2012-12-29T17:06:21.441+00:00|1168231109264|27.131.221.93|Internet Explorer|cool|4
2012-12-29T22:40:16.971+00:00|1168231109274|31.209.42.207|Internet Explorer|ok|2
