creationDate|id|locationIP|browserUsed|content|length
2012-10-17T21:47:45.712+00:00|1099511630088|192.100.158.95|Internet Explorer|About Katarina Srebotnik,  20 on the Sony Ericsson WTA Tour on AugusAbout Back in|82
2012-10-17T21:48:08.824+00:00|1099511630091|31.24.165.15|Firefox|cool|4
2012-10-17T23:14:59.155+00:00|1099511630097|197.220.203.36|Firefox|About From Here to Eternity: Live, Blender 3/5 stars link Robert Christgau (3-star|83
2012-10-17T23:37:10.335+00:00|1099511630098|189.202.102.202|Firefox|right|5
2012-10-17T22:45:33.751+00:00|1099511630100|203.215.63.48|Firefox|no|2
2012-10-17T22:25:46.187+00:00|1099511630101|46.154.44.101|Firefox|thanks|6
2012-10-17T23:49:25.212+00:00|1099511631507|41.203.147.168|Internet Explorer|About Fidel Castro, bolished. He then led the transformation oAbout Rubber Soul, t|82
2012-10-17T23:52:21.835+00:00|1099511631508|27.122.45.252|Internet Explorer|duh|3
2012-10-17T23:45:11.109+00:00|1099511631514|41.203.147.168|Internet Explorer|About Fidel Castro, converted into a one-party socialist state,About Colin Powell, 5|84
2012-10-17T23:59:54.148+00:00|1099511631516|196.29.42.107|Firefox|duh|3
