creationDate|Comment1.id|Comment2.id
2012-12-30T19:32:58.024+00:00|1168231107145|1168231107142
2012-12-30T00:24:30.865+00:00|1168231109188|1168231109183
2012-12-30T04:05:49.940+00:00|1168231109194|1168231109191
2012-12-30T19:53:45.116+00:00|1168231109195|1168231109194
2012-12-30T07:43:43.766+00:00|1168231109196|1168231109194
2012-12-30T14:04:39.282+00:00|1168231109197|1168231109191
2012-12-30T05:33:39.799+00:00|1168231109202|1168231109194
2012-12-30T04:19:38.514+00:00|1168231109203|1168231109198
2012-12-30T05:33:29.166+00:00|1168231109205|1168231109194
2012-12-30T17:18:58.779+00:00|1168231109206|1168231109191
2012-12-30T14:28:46.332+00:00|1168231109208|1168231109198
2012-12-30T15:09:27.946+00:00|1168231109209|1168231109208
2012-12-30T15:27:42.465+00:00|1168231109212|1168231109211
2012-12-30T15:12:29.674+00:00|1168231109216|1168231109211
2012-12-30T19:45:36.014+00:00|1168231109217|1168231109213
2012-12-30T20:06:43.260+00:00|1168231109218|1168231109217
2012-12-30T19:47:25.775+00:00|1168231109219|1168231109217
2012-12-30T21:26:52.631+00:00|1168231109220|1168231109213
2012-12-30T16:07:34.545+00:00|1168231109221|1168231109211
2012-12-30T14:25:44.230+00:00|1168231109222|1168231109215
2012-12-30T21:13:26.296+00:00|1168231109224|1168231109213
2012-12-30T21:32:47.690+00:00|1168231109226|1168231109220
2012-12-30T02:40:44.125+00:00|1168231109273|1168231109272
2012-12-30T01:49:08.922+00:00|1168231109279|1168231109272
2012-12-30T09:48:56.932+00:00|1168231109280|1168231109272
2012-12-30T16:25:26.047+00:00|1168231109281|1168231109280
2012-12-30T01:51:17.908+00:00|1168231109282|1168231109272
