creationDate|id|locationIP|browserUsed|content|length
2012-11-07T09:36:03.733+00:00|1099511629371|186.64.7.5|Firefox|I see|5
2012-11-07T01:50:23.015+00:00|1099511631505|192.190.31.253|Chrome|About Fidel Castro, etary of the Communist Party oAbout Charles de Gaulle, gave encoura|87
2012-11-07T14:51:37.239+00:00|1099511631512|91.191.192.127|Firefox|fine|4
2012-11-07T03:19:51.759+00:00|1099511631517|192.190.31.253|Chrome|About Fidel Castro, olitically a MarxiAbout Smokey Robinson,  Backatcha, Quiet About|85
2012-11-07T04:02:09.993+00:00|1099511631518|41.203.147.168|Internet Explorer|LOL|3
2012-11-07T04:43:39.360+00:00|1099511631519|192.190.31.253|Chrome|I see|5
2012-11-07T18:23:09.147+00:00|1099511632433|27.116.34.47|Chrome|good|4
2012-11-07T15:18:34.338+00:00|1099511632437|41.188.97.221|Internet Explorer|About Fernando González, rs Series tournaments. He is arguably CAbout Philip|76
2012-11-07T09:36:17.951+00:00|1099511632438|189.202.102.202|Firefox|About Fernando González, ampras. González qualified twice for the yAbout Ralph Vaug|83
2012-11-07T11:18:22.309+00:00|1099511632440|27.131.221.93|Internet Explorer|maybe|5
2012-11-07T16:41:24.084+00:00|1099511632441|61.16.136.118|Chrome|no|2
