creationDate|deletionDate|Person1.id|Person2.id
2011-07-26T21:41:34.142+00:00|2019-12-30T00:00:00.000+00:00|19791209299968|24189255811081
2011-12-29T07:56:39.032+00:00|2019-12-30T00:00:00.000+00:00|24189255811081|24189255811109
2011-12-29T07:56:39.032+00:00|2019-12-30T00:00:00.000+00:00|24189255811081|26388279066658
2011-12-29T07:56:39.032+00:00|2019-12-30T00:00:00.000+00:00|24189255811081|26388279066668
2011-12-29T07:56:39.032+00:00|2019-12-30T00:00:00.000+00:00|24189255811081|28587302322180
2011-12-29T07:56:39.032+00:00|2019-12-30T00:00:00.000+00:00|24189255811081|28587302322196
2011-12-29T07:56:39.032+00:00|2019-12-30T00:00:00.000+00:00|24189255811081|35184372088834
2010-09-27T09:37:30.742+00:00|2012-01-31T17:29:45.363+00:00|8796093022249|10995116277782
2010-09-27T09:37:30.742+00:00|2012-01-31T17:29:45.363+00:00|8796093022249|13194139533355
2010-09-27T09:37:30.742+00:00|2012-01-31T17:29:45.363+00:00|8796093022249|19791209299968
2010-09-27T09:37:30.742+00:00|2012-01-31T17:29:45.363+00:00|8796093022249|24189255811081
2010-09-27T09:37:30.742+00:00|2012-01-31T17:29:45.363+00:00|8796093022249|26388279066658
2010-03-21T12:25:42.685+00:00|2019-12-30T00:00:00.000+00:00|2199023255594|8796093022244
2010-03-21T12:25:42.685+00:00|2019-12-30T00:00:00.000+00:00|2199023255594|10995116277761
2010-03-21T12:25:42.685+00:00|2019-12-30T00:00:00.000+00:00|2199023255594|13194139533342
2010-03-21T12:25:42.685+00:00|2019-12-30T00:00:00.000+00:00|2199023255594|13194139533352
2010-03-21T12:25:42.685+00:00|2019-12-30T00:00:00.000+00:00|2199023255594|15393162788877
2010-03-21T12:25:42.685+00:00|2019-12-30T00:00:00.000+00:00|2199023255594|17592186044461
2010-03-21T12:25:42.685+00:00|2019-12-30T00:00:00.000+00:00|2199023255594|24189255811081
2010-03-21T12:25:42.685+00:00|2019-12-30T00:00:00.000+00:00|2199023255594|26388279066641
2010-03-21T12:25:42.685+00:00|2019-12-30T00:00:00.000+00:00|2199023255594|26388279066658
2010-03-21T12:25:42.685+00:00|2019-12-30T00:00:00.000+00:00|2199023255594|26388279066668
2010-03-21T12:25:42.685+00:00|2019-12-30T00:00:00.000+00:00|2199023255594|28587302322180
2010-03-21T12:25:42.685+00:00|2019-12-30T00:00:00.000+00:00|2199023255594|28587302322196
2010-03-21T12:25:42.685+00:00|2019-12-30T00:00:00.000+00:00|2199023255594|30786325577740
2010-03-21T12:25:42.685+00:00|2019-12-30T00:00:00.000+00:00|2199023255594|35184372088850
2010-03-21T12:25:42.685+00:00|2019-12-30T00:00:00.000+00:00|2199023255594|35184372088856
2010-04-18T01:27:21.494+00:00|2019-12-30T00:00:00.000+00:00|2199023255573|13194139533355
2010-04-18T01:27:21.494+00:00|2019-12-30T00:00:00.000+00:00|2199023255573|24189255811081
2011-02-28T08:13:29.086+00:00|2019-12-30T00:00:00.000+00:00|13194139533342|24189255811081
2012-02-03T03:26:31.722+00:00|2019-12-30T00:00:00.000+00:00|26388279066655|28587302322180
2012-02-03T03:26:31.722+00:00|2019-12-30T00:00:00.000+00:00|26388279066655|35184372088856
2010-02-12T22:05:24.513+00:00|2019-12-30T00:00:00.000+00:00|32|2199023255594
2010-02-12T22:05:24.513+00:00|2019-12-30T00:00:00.000+00:00|32|13194139533352
2010-02-12T22:05:24.513+00:00|2019-12-30T00:00:00.000+00:00|32|17592186044461
2010-02-12T22:05:24.513+00:00|2019-12-30T00:00:00.000+00:00|32|26388279066658
2012-01-10T19:44:54.406+00:00|2019-12-30T00:00:00.000+00:00|26388279066632|28587302322204
2012-01-16T00:09:40.120+00:00|2019-12-30T00:00:00.000+00:00|26388279066658|28587302322196
2012-01-16T00:09:40.120+00:00|2019-12-30T00:00:00.000+00:00|26388279066658|30786325577740
2012-01-16T00:09:40.120+00:00|2019-12-30T00:00:00.000+00:00|26388279066658|35184372088850
2012-01-16T00:09:40.120+00:00|2019-12-30T00:00:00.000+00:00|26388279066658|35184372088856
2012-03-30T10:11:12.788+00:00|2019-12-30T00:00:00.000+00:00|28587302322180|28587302322204
2012-03-30T10:11:12.788+00:00|2019-12-30T00:00:00.000+00:00|28587302322180|28587302322223
