deletionDate|Post.id|Person.id
2012-12-02T08:02:39.941+00:00|824633721809|17592186044443
2012-12-02T08:02:39.941+00:00|824633721810|17592186044443
2012-12-02T08:02:39.941+00:00|824633721811|17592186044443
2012-12-02T08:02:39.941+00:00|824633721812|17592186044443
2012-12-02T08:02:39.941+00:00|824633721813|17592186044443
2012-12-02T08:02:39.941+00:00|824633721814|17592186044443
2012-12-02T08:02:39.941+00:00|824633721815|17592186044443
2012-12-02T08:02:39.941+00:00|824633721816|17592186044443
2012-12-02T08:02:39.941+00:00|824633721817|17592186044443
2012-12-02T08:02:39.941+00:00|824633721818|17592186044443
2012-12-02T08:02:39.941+00:00|824633721819|17592186044443
2012-12-02T08:02:39.941+00:00|824633721820|17592186044443
2012-12-02T08:02:39.941+00:00|824633721821|17592186044443
2012-12-02T08:02:39.941+00:00|824633721822|17592186044443
2012-12-02T08:02:39.941+00:00|824633721823|17592186044443
2012-12-02T08:02:39.941+00:00|824633721824|17592186044443
2012-12-02T08:02:39.941+00:00|824633721826|17592186044443
2012-12-02T08:02:39.941+00:00|824633721827|17592186044443
