creationDate|Person.id|Comment.id
2012-12-26T14:02:29.857+00:00|21990232555526|1168231106752
2012-12-26T06:24:11.939+00:00|35184372088834|1168231106752
2012-12-26T00:27:27.599+00:00|26388279066658|1168231106752
2012-12-26T18:38:55.904+00:00|32985348833318|1168231106752
2012-12-26T17:16:12.088+00:00|15393162788877|1168231106752
2012-12-26T06:31:58.143+00:00|8796093022234|1168231106782
2012-12-26T23:43:07.413+00:00|10995116277783|1168231106782
2012-12-26T21:55:04.974+00:00|28587302322196|1168231106782
2012-12-26T04:19:57.471+00:00|32985348833318|1168231106782
2012-12-26T09:52:57.494+00:00|28587302322209|1168231106782
2012-12-26T16:46:45.671+00:00|13194139533342|1168231106782
2012-12-26T13:24:19.563+00:00|13194139533355|1168231106782
2012-12-26T02:33:12.814+00:00|19791209299987|1168231106782
2012-12-26T05:51:30.863+00:00|28587302322209|1168231109255
2012-12-26T06:18:30.386+00:00|6597069766702|1168231109255
2012-12-26T20:34:09.200+00:00|35184372088871|1168231109255
2012-12-26T03:00:46.600+00:00|32985348833329|1168231109255
2012-12-26T05:42:10.401+00:00|35184372088856|1168231109255
2012-12-26T11:32:48.724+00:00|21990232555527|1168231109255
2012-12-26T04:20:53.115+00:00|17592186044443|1168231109255
