creationDate|id|imageFile|locationIP|browserUsed|language|content|length|Forum.id
2012-11-04T17:44:46.609+00:00|1099511631346|photo1099511631346.jpg|196.29.42.107|Firefox|""|""|0|1099511628088
2012-11-04T17:44:47.609+00:00|1099511631347|photo1099511631347.jpg|196.29.42.107|Firefox|""|""|0|1099511628088
2012-11-04T17:44:48.609+00:00|1099511631348|photo1099511631348.jpg|196.29.42.107|Firefox|""|""|0|1099511628088
2012-11-04T17:44:49.609+00:00|1099511631349|photo1099511631349.jpg|196.29.42.107|Firefox|""|""|0|1099511628088
2012-11-04T17:44:50.609+00:00|1099511631350|photo1099511631350.jpg|196.29.42.107|Firefox|""|""|0|1099511628088
2012-11-04T17:44:51.609+00:00|1099511631351|photo1099511631351.jpg|196.29.42.107|Firefox|""|""|0|1099511628088
2012-11-04T17:44:52.609+00:00|1099511631352|photo1099511631352.jpg|196.29.42.107|Firefox|""|""|0|1099511628088
2012-11-04T17:44:53.609+00:00|1099511631353|photo1099511631353.jpg|196.29.42.107|Firefox|""|""|0|1099511628088
2012-11-04T17:44:54.609+00:00|1099511631354|photo1099511631354.jpg|196.29.42.107|Firefox|""|""|0|1099511628088
2012-11-04T17:44:56.609+00:00|1099511631356|photo1099511631356.jpg|196.29.42.107|Firefox|""|""|0|1099511628088
2012-11-04T17:44:58.609+00:00|1099511631358|photo1099511631358.jpg|196.29.42.107|Firefox|""|""|0|1099511628088
2012-11-04T17:44:59.609+00:00|1099511631359|photo1099511631359.jpg|196.29.42.107|Firefox|""|""|0|1099511628088
2012-11-04T17:45:00.609+00:00|1099511631360|photo1099511631360.jpg|196.29.42.107|Firefox|""|""|0|1099511628088
