creationDate|Comment.id|Post.id
2012-12-25T10:26:40.340+00:00|1168231106737|1168231106735
2012-12-25T17:31:20.616+00:00|1168231106739|1168231106735
2012-12-25T17:31:30.037+00:00|1168231106740|1168231106735
2012-12-25T11:30:34.729+00:00|1168231106742|1168231106735
2012-12-25T13:15:08.750+00:00|1168231106748|1168231106735
2012-12-25T22:15:38.687+00:00|1168231109180|1168231109178
2012-12-25T13:29:28.799+00:00|1168231109252|1168231109251
2012-12-25T14:54:04.947+00:00|1168231109255|1168231109251
2012-12-25T11:49:56.265+00:00|1168231109256|1168231109251
2012-12-25T16:09:57.697+00:00|1168231109257|1168231109251
2012-12-25T22:35:34.968+00:00|1168231109261|1168231109251
2012-12-25T12:34:59.243+00:00|1168231109270|1168231109266
2012-12-25T15:12:40.808+00:00|1168231109276|1168231109266
