creationDate|Comment.id|ParentComment.id
2012-07-02T18:16:03.788+00:00|962072674830|962072674828
2012-07-19T02:26:23.011+00:00|1030792151567|962072674828
2012-08-23T08:57:55.861+00:00|1030792151568|1030792151567
2012-08-23T07:18:07.432+00:00|1030792151570|1030792151567
2012-08-01T07:06:41.752+00:00|1030792151573|1030792151567
2012-07-19T06:31:35.870+00:00|1030792151575|1030792151567
2012-07-31T09:20:26.232+00:00|1030792151580|1030792151578
2012-07-31T10:24:37.798+00:00|1030792151582|1030792151578
2012-08-27T16:27:50.488+00:00|1030792151583|1030792151579
2012-07-31T19:15:16.928+00:00|1030792151584|1030792151582
2012-08-28T01:57:21.610+00:00|1030792151585|1030792151582
2012-08-28T15:39:47.552+00:00|1030792151587|1030792151583
2012-08-27T16:02:23.482+00:00|1030792151588|1030792151579
2012-08-27T16:02:59.702+00:00|1030792151590|1030792151588
2012-09-09T12:18:07.402+00:00|1099511628327|1030792151583
2012-05-18T00:59:18.193+00:00|962072675617|962072675616
2012-07-13T23:03:08.231+00:00|1030792152359|1030792152357
2012-07-13T21:50:58.357+00:00|1030792152362|1030792152357
2012-07-13T19:55:24.460+00:00|1030792152366|1030792152357
2012-07-13T16:53:32.534+00:00|1030792152367|824633722155
2012-07-13T18:46:10.614+00:00|1030792152368|824633722155
2011-10-19T13:08:02.766+00:00|687194768695|687194768694
2011-10-18T22:25:10.886+00:00|687194768697|687194768694
2011-10-19T08:05:35.964+00:00|687194768706|687194768701
2012-06-15T15:49:30.636+00:00|962072675704|962072675702
2012-07-01T08:44:40.408+00:00|962072675705|962072675700
2012-07-20T07:43:48.176+00:00|1030792152443|962072675703
2012-07-02T02:11:34.885+00:00|962072675708|962072675700
2012-06-15T13:30:58.872+00:00|962072675709|962072675703
2012-07-20T10:28:21.121+00:00|1030792152447|1030792152443
2012-07-01T10:47:15.211+00:00|962072675713|962072675700
2012-06-15T05:22:54.203+00:00|962072675729|962072675728
2012-07-01T18:08:37.146+00:00|962072675730|962072675728
2012-06-16T09:07:49.133+00:00|962072675744|962072675737
2012-08-04T14:56:10.360+00:00|1030792152490|1030792152489
2012-08-04T13:48:27.646+00:00|1030792152491|1030792152489
2012-08-04T10:15:08.128+00:00|1030792152495|1030792152489
2012-08-19T09:18:37.089+00:00|1030792152634|1030792152633
2012-07-20T19:22:32.559+00:00|1030792152636|1030792152631
2012-07-20T17:07:07.631+00:00|1030792152637|1030792152631
2012-07-21T02:16:50.010+00:00|1030792152652|1030792152651
2012-07-20T21:20:28.603+00:00|1030792152654|1030792152651
2012-07-20T17:21:07.129+00:00|1030792152655|1030792152651
2012-08-10T08:58:42.693+00:00|1030792153241|1030792153238
2012-08-10T16:13:55.717+00:00|1030792153253|1030792153250
2012-08-11T09:10:06.014+00:00|1030792153260|1030792153250
2012-06-16T02:21:05.803+00:00|962072676696|962072676695
2012-06-15T08:00:07.413+00:00|962072676698|962072676697
2012-06-15T08:21:22.873+00:00|962072676700|962072676695
2012-06-15T14:54:04.503+00:00|962072676703|962072676695
2012-06-15T08:16:50.244+00:00|962072676709|962072676695
2012-06-16T15:52:37.390+00:00|962072676722|962072676721
2012-06-16T11:06:51.788+00:00|962072676734|962072676721
2012-06-21T23:19:53.593+00:00|962072676764|962072676759
2012-08-28T07:02:38.533+00:00|1030792153505|962072676768
2012-06-16T09:47:44.989+00:00|962072676803|962072676800
2012-08-12T14:17:56.385+00:00|1030792153543|962072676800
2012-06-15T22:11:18.904+00:00|962072676818|962072676813
2012-08-12T09:51:40.083+00:00|1030792153558|1030792153557
2012-08-12T08:53:18.440+00:00|1030792153559|1030792153557
2012-07-29T01:07:30.685+00:00|1030792153631|1030792153630
2012-04-11T22:59:51.381+00:00|893353200819|824633724082
2012-06-06T03:38:43.165+00:00|962072677556|824633724082
2012-01-18T07:14:41.396+00:00|824633724104|687194770631
2012-07-08T18:58:07.102+00:00|962072677578|824633724104
2012-01-18T08:02:45.464+00:00|824633724107|824633724104
2012-04-12T04:20:37.011+00:00|893353200844|687194770631
2012-01-18T13:01:46.800+00:00|824633724119|824633724118
2012-07-09T01:01:30.898+00:00|962072677594|824633724118
2012-07-09T14:28:53.930+00:00|1030792154343|962072677604
2012-05-18T23:44:52.958+00:00|962072677608|962072677604
2012-06-05T15:30:55.128+00:00|962072677615|481036340458
2011-12-30T09:06:10.896+00:00|755914247414|755914247413
2012-07-08T22:21:38.119+00:00|962072677627|962072677625
2012-07-08T17:07:11.535+00:00|962072677628|962072677625
2011-11-14T12:08:57.539+00:00|755914247436|755914247434
2012-06-21T05:51:18.536+00:00|962072677646|755914247434
2012-09-09T12:02:21.370+00:00|1099511631122|1099511631121
2012-07-28T02:23:24.469+00:00|1030792154394|1030792154391
2012-07-28T02:25:17.346+00:00|1030792154395|1030792154394
2012-07-27T02:57:59.749+00:00|1030792154396|1030792154391
2012-09-08T17:26:12.086+00:00|1099511631133|1030792154394
2012-07-27T03:43:11.400+00:00|1030792154398|1030792154391
2012-07-09T08:42:41.264+00:00|1030792154426|962072677689
2012-04-12T08:43:18.264+00:00|893353200955|893353200951
2011-12-29T12:13:23.891+00:00|755914247491|618475294018
2012-06-05T08:20:18.236+00:00|962072677700|755914247491
2012-09-09T15:34:35.858+00:00|1099511631173|618475294018
2012-09-09T19:24:09.487+00:00|1099511631174|1099511631173
2012-09-10T07:43:09.782+00:00|1099511631176|1099511631173
2012-08-19T02:01:38.598+00:00|1030792155254|1030792155250
2012-08-19T00:33:16.447+00:00|1030792155259|755914248312
2012-08-18T10:48:27.280+00:00|1030792155260|755914248312
2012-02-09T18:56:04.295+00:00|824633725054|755914248312
2012-02-09T11:21:52.250+00:00|824633725058|755914248312
2012-08-18T04:43:49.823+00:00|1030792155269|824633725060
2012-08-18T08:37:50.360+00:00|1030792155271|1030792155269
2012-08-18T05:01:21.894+00:00|1030792155272|1030792155269
2012-08-18T21:45:42.175+00:00|1030792155273|1030792155271
2012-08-18T04:44:30.926+00:00|1030792155274|1030792155269
2012-08-18T20:42:42.530+00:00|1030792155275|1030792155269
2012-08-18T10:49:15.032+00:00|1030792155277|1030792155269
2012-08-18T14:00:44.071+00:00|1030792155278|1030792155271
2012-08-26T17:02:59.384+00:00|1030792156182|1030792156178
2012-07-18T04:49:06.613+00:00|1030792156189|1030792156187
