creationDate|Person1.id|Person2.id
2012-05-23T20:59:37.460+00:00|24189255811081|24189255811109
2012-06-10T16:32:52.722+00:00|24189255811081|26388279066658
2012-07-01T08:09:52.719+00:00|24189255811081|26388279066668
2012-07-19T13:47:21.535+00:00|24189255811081|28587302322180
2012-08-03T15:36:12.077+00:00|24189255811081|28587302322196
2011-09-04T04:10:42.355+00:00|2199023255594|8796093022244
2011-03-12T08:29:37.727+00:00|2199023255594|10995116277761
2011-12-29T11:29:30.153+00:00|2199023255594|13194139533342
2012-01-17T16:40:06.360+00:00|2199023255594|13194139533352
2011-11-13T22:39:00.949+00:00|2199023255594|15393162788877
2012-07-08T16:38:19.049+00:00|2199023255594|17592186044461
2012-04-11T22:56:51.362+00:00|2199023255594|24189255811081
2012-01-16T01:49:13.002+00:00|2199023255594|26388279066658
2012-06-21T05:46:04.882+00:00|2199023255594|26388279066668
2012-09-08T16:48:13.698+00:00|2199023255594|28587302322180
2012-06-05T04:39:11.423+00:00|2199023255594|28587302322196
2012-08-19T00:19:21.283+00:00|2199023255594|30786325577740
2012-05-17T19:59:14.966+00:00|2199023255573|24189255811081
2011-06-24T02:40:20.246+00:00|32|2199023255594
2012-08-18T04:04:48.360+00:00|32|13194139533352
2012-02-09T11:13:18.460+00:00|32|26388279066658
2012-08-18T07:57:14.510+00:00|26388279066632|28587302322204
2012-06-20T00:36:30.767+00:00|26388279066658|28587302322196
2012-06-26T13:31:07.084+00:00|26388279066658|30786325577740
2012-08-23T05:27:40.596+00:00|28587302322180|28587302322204
2012-08-01T04:03:28.500+00:00|28587302322180|28587302322223
2012-08-27T11:50:03.662+00:00|28587302322180|30786325577731
2011-07-22T03:01:10.594+00:00|2199023255557|8796093022237
2012-02-16T19:42:47.972+00:00|2199023255557|13194139533355
2012-02-18T03:32:38.635+00:00|2199023255557|24189255811081
2012-02-17T23:16:44.688+00:00|10995116277782|26388279066658
2012-07-18T04:25:19.221+00:00|10995116277782|28587302322180
2012-08-25T19:45:37.111+00:00|10995116277782|28587302322204
2012-07-08T08:27:12.264+00:00|14|24189255811081
2012-05-02T11:06:54.001+00:00|21990232555527|24189255811081
2011-11-07T22:05:10.543+00:00|16|2199023255594
2012-06-14T05:43:25.817+00:00|16|26388279066655
2012-06-29T17:45:34.905+00:00|16|28587302322204
2012-05-26T21:49:18.731+00:00|13194139533352|26388279066641
2012-07-20T14:51:18.160+00:00|13194139533352|28587302322180
2012-07-14T05:38:41.120+00:00|13194139533352|28587302322196
2012-05-14T01:43:33.791+00:00|13194139533352|28587302322204
2012-05-06T17:03:00.793+00:00|26388279066641|28587302322180
2011-11-20T08:10:30.920+00:00|10995116277761|13194139533352
2012-02-28T14:34:25.137+00:00|10995116277761|17592186044443
2012-07-13T09:58:31.938+00:00|10995116277761|26388279066658
2012-04-18T16:46:45.284+00:00|17592186044443|28587302322180
2012-02-03T10:36:55.877+00:00|13194139533355|24189255811081
2012-08-09T22:16:39.075+00:00|13194139533355|32985348833329
2012-01-21T15:40:05.916+00:00|8796093022244|13194139533355
2012-04-25T09:34:19.949+00:00|26388279066668|28587302322180
2012-07-17T03:48:23.945+00:00|6597069766702|26388279066658
