creationDate|id|locationIP|browserUsed|content|length
2012-11-21T08:33:44.539+00:00|1168231106885|1.88.156.174|Internet Explorer|fine|4
2012-11-21T07:30:02.603+00:00|1168231106933|1.88.156.174|Internet Explorer|great|5
2012-11-21T02:17:26.956+00:00|1168231106939|31.24.100.159|Firefox|no way!|7
2012-11-21T06:19:33.160+00:00|1168231107004|1.88.156.174|Internet Explorer|good|4
2012-11-21T14:54:19.456+00:00|1168231107194|180.222.139.188|Internet Explorer|About Muhammad Ali Jinnah, he parties and the British to agree About Khalid Sheikh Mohammed,  bombing attempt to blow up an airliAbout Margaret Thatcher, ship. Thatcher holds a li|179
2012-11-21T15:03:00.933+00:00|1168231107201|27.112.88.106|Internet Explorer|About Muhammad Ali Jinnah, orts to lay tAbout Khalid Sheikh Mohammed, s an|74
2012-11-21T17:32:43.028+00:00|1168231107206|1.29.220.142|Chrome|thanks|6
2012-11-21T23:37:24.673+00:00|1168231107210|31.185.10.92|Internet Explorer|good|4
2012-11-21T06:44:58.285+00:00|1168231107239|180.222.139.188|Internet Explorer|fine|4
2012-11-21T20:52:30.661+00:00|1168231108247|27.98.220.136|Firefox|About Roman Empire,  of the Empire's vast extent and long endurance, the institutions a|87
