deletionDate|Forum.id|Post.id
2012-12-02T08:02:39.941+00:00|824633720930|824633721809
2012-12-02T08:02:39.941+00:00|824633720930|824633721810
2012-12-02T08:02:39.941+00:00|824633720930|824633721811
2012-12-02T08:02:39.941+00:00|824633720930|824633721812
2012-12-02T08:02:39.941+00:00|824633720930|824633721813
2012-12-02T08:02:39.941+00:00|824633720930|824633721814
2012-12-02T08:02:39.941+00:00|824633720930|824633721815
2012-12-02T08:02:39.941+00:00|824633720930|824633721816
2012-12-02T08:02:39.941+00:00|824633720930|824633721817
2012-12-02T08:02:39.941+00:00|824633720930|824633721818
2012-12-02T08:02:39.941+00:00|824633720930|824633721819
2012-12-02T08:02:39.941+00:00|824633720930|824633721820
2012-12-02T08:02:39.941+00:00|824633720930|824633721821
2012-12-02T08:02:39.941+00:00|824633720930|824633721822
2012-12-02T08:02:39.941+00:00|824633720930|824633721823
2012-12-02T08:02:39.941+00:00|824633720930|824633721824
2012-12-02T08:02:39.941+00:00|824633720930|824633721826
2012-12-02T08:02:39.941+00:00|824633720930|824633721827
