deletionDate|Comment1.id|Comment2.id
2012-12-24T01:09:38.001+00:00|1168231106854|1168231106853
2012-12-24T01:09:38.001+00:00|1168231106856|1168231106853
2012-12-24T01:09:38.001+00:00|1168231106858|1168231106857
2012-12-24T01:09:38.001+00:00|1168231106859|1168231106853
2012-12-24T01:09:38.001+00:00|1168231106860|1168231106859
2012-12-24T01:09:38.001+00:00|1168231106863|1168231106859
2012-12-24T01:09:38.001+00:00|1168231106864|1168231106855
2012-12-24T01:09:38.001+00:00|1168231106865|1168231106855
2012-12-24T01:09:38.001+00:00|1168231106866|1168231106864
2012-12-24T01:09:38.001+00:00|1168231106867|1168231106864
2012-12-24T01:09:38.001+00:00|1168231106868|1168231106866
2012-12-24T01:09:38.001+00:00|1168231106869|1168231106864
