creationDate|Comment.id|Person.id
2012-12-17T02:33:28.710+00:00|1168231106857|8796093022237
2012-12-17T14:08:55.755+00:00|1168231106858|32
2012-12-17T03:47:47.067+00:00|1168231106863|2199023255594
2012-12-17T04:02:08.274+00:00|1168231106864|2199023255594
2012-12-17T11:05:21.540+00:00|1168231106866|2199023255557
2012-12-17T23:23:15.916+00:00|1168231106867|28587302322180
2012-12-17T11:07:08.803+00:00|1168231106868|6597069766702
2012-12-17T11:59:31.500+00:00|1168231106869|14
2012-12-17T15:33:14.897+00:00|1168231107142|10995116277761
2012-12-17T15:35:26.513+00:00|1168231107144|14
2012-12-17T18:46:17.044+00:00|1168231107150|35184372088850
2012-12-17T15:54:12.445+00:00|1168231107153|35184372088871
