creationDate|Comment1.id|Comment2.id
2012-12-29T00:42:26.495+00:00|1168231109187|1168231109186
2012-12-29T10:39:41.674+00:00|1168231109193|1168231109192
2012-12-29T23:19:01.773+00:00|1168231109199|1168231109198
2012-12-29T10:33:55.363+00:00|1168231109200|1168231109192
2012-12-29T21:06:17.015+00:00|1168231109201|1168231109192
2012-12-29T12:02:24.224+00:00|1168231109204|1168231109192
2012-12-29T22:15:20.013+00:00|1168231109258|1168231109255
2012-12-29T23:15:24.582+00:00|1168231109262|1168231109258
2012-12-29T17:06:21.441+00:00|1168231109264|1168231109255
2012-12-29T22:40:16.971+00:00|1168231109274|1168231109271
