creationDate|id|locationIP|browserUsed|content|length
2012-12-23T13:37:42.768+00:00|1168231106772|41.74.150.41|Firefox|right|5
2012-12-23T14:01:22.787+00:00|1168231107127|77.245.239.11|Firefox|About Katarina Srebotnik, ur on August 7, 2006. Srebotnik won 4 sAbout Destin|77
2012-12-23T06:25:57.248+00:00|1168231107128|41.203.147.168|Internet Explorer|About Katarina Srebotnik, nded, 1.80 m, weighs 65 kg and lives in DuAbout Midnite V|83
2012-12-23T01:35:01.754+00:00|1168231107129|77.245.239.11|Firefox|cool|4
2012-12-23T19:36:39.909+00:00|1168231107130|91.191.192.127|Firefox|good|4
2012-12-23T09:47:38.877+00:00|1168231107132|115.186.113.189|Safari|maybe|5
2012-12-23T06:33:59.676+00:00|1168231107133|41.188.97.221|Internet Explorer|no way!|7
2012-12-23T06:26:58.581+00:00|1168231107136|27.122.45.252|Internet Explorer|cool|4
2012-12-23T10:05:03.797+00:00|1168231107137|1.2.2.77|Firefox|good|4
2012-12-23T20:39:06.914+00:00|1168231107138|49.50.77.195|Firefox|About Aldous Huxley, e is also well known for advocating and taking psychedelics. By the end of his life Huxley was widely recognized to be one of|147
2012-12-23T21:19:12.553+00:00|1168231107139|24.38.139.231|Firefox|no way!|7
