creationDate|Comment.id|Person.id
2012-11-29T21:59:21.583+00:00|1168231105894|2199023255594
2012-11-29T17:56:12.206+00:00|1168231105903|2199023255594
2012-11-29T18:11:17.308+00:00|1168231107062|28587302322204
2012-11-29T18:13:10.669+00:00|1168231107075|28587302322204
2012-11-29T23:04:07.554+00:00|1168231107077|28587302322204
2012-11-29T18:37:34.946+00:00|1168231107765|26388279066641
2012-11-29T17:43:00.269+00:00|1168231107841|26388279066641
2012-11-29T17:56:52.011+00:00|1168231107896|26388279066641
2012-11-29T21:37:00.417+00:00|1168231107902|26388279066641
2012-11-29T17:38:49.475+00:00|1168231107903|26388279066641
