deletionDate|Comment.id|Place.id
2012-12-11T23:45:12.518+00:00|1168231106755|0
2012-12-11T23:45:12.518+00:00|1168231106757|48
2012-12-11T23:45:12.518+00:00|1168231106758|60
2012-12-11T23:45:12.518+00:00|1168231106759|53
2012-12-11T23:45:12.518+00:00|1168231106760|80
2012-12-11T23:45:12.518+00:00|1168231106761|81
2012-12-11T23:45:12.518+00:00|1168231106762|89
2012-12-11T23:45:12.518+00:00|1168231106763|59
2012-12-11T23:45:12.518+00:00|1168231107119|110
2012-12-11T23:45:12.518+00:00|1168231107123|81
