creationDate|Person.id|Comment.id
2012-05-21T01:33:11.946+00:00|26388279066655|962072675617
2011-10-20T18:50:48.671+00:00|2199023255557|687194768696
2012-08-19T18:14:51.375+00:00|2199023255594|1030792152633
2012-08-17T09:31:57.111+00:00|2199023255557|1030792153250
2012-08-14T04:49:44.448+00:00|2199023255557|1030792153260
2012-08-15T17:02:34.021+00:00|2199023255573|1030792153260
2012-08-13T19:27:39.685+00:00|8796093022244|1030792153260
2012-08-14T04:29:17.202+00:00|24189255811081|1030792153260
2012-08-15T14:11:26.633+00:00|32985348833329|1030792153260
2012-05-06T06:51:46.991+00:00|8796093022244|893353199950
2012-06-26T08:22:51.684+00:00|8796093022234|962072676797
2012-02-28T01:38:22.436+00:00|26388279066668|824633724114
2012-09-11T23:19:47.924+00:00|17592186044461|1099511631137
2011-11-12T23:48:49.488+00:00|16|755914247465
2011-11-14T03:30:05.452+00:00|32|755914247465
2011-11-09T19:16:56.721+00:00|8796093022244|755914247465
2011-11-08T10:44:32.224+00:00|10995116277761|755914247465
2011-11-12T00:26:29.606+00:00|13194139533342|755914247465
2011-11-09T00:47:27.670+00:00|13194139533352|755914247465
2011-11-10T21:12:58.757+00:00|15393162788877|755914247465
2011-11-09T07:10:48.386+00:00|17592186044461|755914247465
2011-09-08T20:26:55.695+00:00|13194139533342|618475294001
