deletionDate|Comment.id|Tag.id
2012-12-11T23:45:12.518+00:00|1168231106757|1747
2012-12-11T23:45:12.518+00:00|1168231106757|14071
2012-12-11T23:45:12.518+00:00|1168231106758|1747
2012-12-11T23:45:12.518+00:00|1168231106758|8828
2012-12-11T23:45:12.518+00:00|1168231106758|14071
2012-12-11T23:45:12.518+00:00|1168231106760|1747
2012-12-11T23:45:12.518+00:00|1168231106760|4874
2012-12-11T23:45:12.518+00:00|1168231106761|13698
2012-12-11T23:45:12.518+00:00|1168231106761|14071
2012-12-11T23:45:12.518+00:00|1168231106762|6447
2012-12-11T23:45:12.518+00:00|1168231106762|13698
2012-12-11T23:45:12.518+00:00|1168231106763|1987
2012-12-11T23:45:12.518+00:00|1168231106763|6447
2012-12-11T23:45:12.518+00:00|1168231107119|1176
