deletionDate|Comment.id|Person.id
2012-12-24T01:09:38.001+00:00|1168231106852|37383395344394
2012-12-24T01:09:38.001+00:00|1168231106853|26388279066655
2012-12-24T01:09:38.001+00:00|1168231106854|10995116277783
2012-12-24T01:09:38.001+00:00|1168231106855|13194139533342
2012-12-24T01:09:38.001+00:00|1168231106856|30786325577731
2012-12-24T01:09:38.001+00:00|1168231106857|8796093022237
2012-12-24T01:09:38.001+00:00|1168231106858|32
2012-12-24T01:09:38.001+00:00|1168231106859|10995116277783
2012-12-24T01:09:38.001+00:00|1168231106860|13194139533355
2012-12-24T01:09:38.001+00:00|1168231106861|21990232555527
2012-12-24T01:09:38.001+00:00|1168231106863|2199023255594
2012-12-24T01:09:38.001+00:00|1168231106864|2199023255594
2012-12-24T01:09:38.001+00:00|1168231106865|35184372088871
2012-12-24T01:09:38.001+00:00|1168231106866|2199023255557
2012-12-24T01:09:38.001+00:00|1168231106867|28587302322180
2012-12-24T01:09:38.001+00:00|1168231106868|6597069766702
2012-12-24T01:09:38.001+00:00|1168231106869|14
