creationDate|Comment.id|Post.id
2012-12-31T01:25:25.529+00:00|1168231107125|1168231107124
2012-12-31T07:48:47.794+00:00|1168231107190|1099511630440
2012-12-31T01:12:40.456+00:00|1168231107233|1099511630496
2012-12-31T13:32:34.173+00:00|1168231107263|1099511630523
2012-12-31T22:09:34.056+00:00|1168231109230|1168231109229
2012-12-31T20:53:16.327+00:00|1168231109231|1168231109229
2012-12-31T20:36:09.936+00:00|1168231109232|1168231109229
2012-12-31T22:58:05.910+00:00|1168231109233|1168231109229
2012-12-31T21:55:47.427+00:00|1168231109234|1168231109229
2012-12-31T12:28:07.407+00:00|1168231109245|1168231109238
