creationDate|deletionDate|id|locationIP|browserUsed|content|length|creator|place|parentPost|parentComment
2012-06-29T18:59:44.956+00:00|2013-01-01T00:00:00.000+00:00|962072674467|31.209.179.5|Firefox|yes|3|28587302322204|101|687194767522|
2012-09-22T16:57:39.979+00:00|2013-01-01T00:00:00.000+00:00|1099511627940|31.170.121.115|Internet Explorer|thanks|6|28587302322180|48|687194767522|
2012-07-19T13:47:41.728+00:00|2013-01-01T00:00:00.000+00:00|1030792151560|91.191.192.127|Firefox|LOL|3|24189255811081|4|962072674823|
2012-07-19T15:21:15.100+00:00|2013-01-01T00:00:00.000+00:00|1030792151561|91.191.192.127|Firefox|I see|5|24189255811081|4|962072674823|
2012-11-15T05:14:35.531+00:00|2013-01-01T00:00:00.000+00:00|1168231105034|49.206.89.61|Safari|fine|4|32985348833329|0|962072674823|
2012-07-02T11:10:43.970+00:00|2013-01-01T00:00:00.000+00:00|962072674827|31.182.127.125|Internet Explorer|right|5|17592186044443|92|962072674823|
2012-07-02T09:01:05.378+00:00|2013-01-01T00:00:00.000+00:00|962072674828|31.192.109.124|Internet Explorer|About Wolfgang Amadeus Mozart, among the mosAbout Janis Joplin, ust Me, Merce|77|26388279066668|56|962072674823|
2012-12-16T12:33:06.664+00:00|2013-01-01T00:00:00.000+00:00|1168231105037|27.98.220.136|Firefox|good|4|35184372088856|1|962072674823|
2012-07-02T18:16:03.788+00:00|2013-01-01T00:00:00.000+00:00|962072674830|193.104.227.215|Internet Explorer|no|2|26388279066641|86||962072674828
2012-07-19T02:26:23.011+00:00|2013-01-01T00:00:00.000+00:00|1030792151567|27.122.45.252|Internet Explorer|About Isabella I of Castile, Ferdinand are knAbout Janis Joplin, erforming abil|79|10995116277782|52||962072674828
2012-08-23T08:57:55.861+00:00|2013-01-01T00:00:00.000+00:00|1030792151568|31.209.179.5|Firefox|cool|4|28587302322204|101||1030792151567
2012-11-15T08:40:45.161+00:00|2013-01-01T00:00:00.000+00:00|1168231105041|49.206.89.61|Safari|About Louis Armstrong,  the end of his career About Al Green, een, is an American gosAbou|89|32985348833329|0||1030792151567
2012-08-23T07:18:07.432+00:00|2013-01-01T00:00:00.000+00:00|1030792151570|31.209.179.5|Firefox|good|4|28587302322204|101||1030792151567
2012-08-01T06:15:28.082+00:00|2013-01-01T00:00:00.000+00:00|1030792151571|120.140.240.249|Safari|thx|3|28587302322223|85|962072674823|
2012-07-02T06:10:58.455+00:00|2013-01-01T00:00:00.000+00:00|962072674836|31.192.109.124|Internet Explorer|About William Shakespeare, , a collected About Janis Joplin, r of the psychAbout|80|26388279066668|56|962072674823|
2012-08-01T07:06:41.752+00:00|2013-01-01T00:00:00.000+00:00|1030792151573|103.1.176.97|Safari|good|4|28587302322223|100||1030792151567
2012-07-02T06:07:56.908+00:00|2013-01-01T00:00:00.000+00:00|962072674838|193.104.227.215|Internet Explorer|duh|3|26388279066641|86|962072674823|
2012-07-19T06:31:35.870+00:00|2013-01-01T00:00:00.000+00:00|1030792151575|31.192.109.124|Internet Explorer|About Isabella I of Castile, ening of the NAbout Jerome Kern, is songs, manyAbout |82|26388279066668|56||1030792151567
2012-08-27T13:17:07.561+00:00|2013-01-01T00:00:00.000+00:00|1030792151577|31.185.10.92|Internet Explorer|fine|4|30786325577731|56|1030792151576|
2012-07-31T07:31:47.056+00:00|2013-01-01T00:00:00.000+00:00|1030792151578|192.190.31.253|Chrome|About Wolfgang Amadeus Mozart, ge of five and performed before European About Bre|81|13194139533352|49|1030792151576|
