creationDate|Comment.id|Place.id
2012-11-01T05:55:01.189+00:00|1099511630069|1
2012-11-01T13:42:02.428+00:00|1099511630076|1
2012-11-01T11:05:54.117+00:00|1099511630089|1
2012-11-01T11:22:03.478+00:00|1099511630093|56
2012-11-01T15:28:57.746+00:00|1099511630095|105
2012-11-01T07:06:51.880+00:00|1099511630186|1
2012-11-01T08:25:02.350+00:00|1099511630246|86
2012-11-01T06:51:05.884+00:00|1099511630276|1
2012-11-01T18:43:25.222+00:00|1099511630370|57
2012-11-01T23:36:49.129+00:00|1099511630372|1
2012-11-01T00:06:06.840+00:00|1099511630375|101
