creationDate|Comment.id|Person.id
2012-10-27T02:27:04.819+00:00|1099511629107|24189255811109
2012-10-27T19:14:23.635+00:00|1099511629109|24189255811109
2012-10-27T02:23:36.987+00:00|1099511629114|24189255811109
2012-10-27T13:47:04.926+00:00|1099511629120|24189255811109
2012-10-27T02:32:25.623+00:00|1099511629125|24189255811109
2012-10-27T11:43:10.839+00:00|1099511629133|24189255811109
2012-10-27T11:55:03.534+00:00|1099511629140|2199023255557
2012-10-27T06:33:48.138+00:00|1099511630344|17592186044443
2012-10-27T13:28:36.594+00:00|1099511630347|10995116277761
2012-10-27T02:47:54.346+00:00|1099511630357|10995116277783
2012-10-27T05:05:33.804+00:00|1099511630512|2199023255557
2012-10-27T16:54:28.631+00:00|1099511630513|2199023255557
2012-10-27T17:51:00.452+00:00|1099511630514|2199023255557
2012-10-27T20:31:56.272+00:00|1099511630518|32985348833291
2012-10-27T02:45:54.267+00:00|1099511630564|17592186044443
