creationDate|deletionDate|explicitlyDeleted|Comment.id|ParentPost.id
2012-06-29T18:59:44.956+00:00|2013-01-01T00:00:00.000+00:00|false|962072674467|687194767522
2012-09-22T16:57:39.979+00:00|2013-01-01T00:00:00.000+00:00|false|1099511627940|687194767522
2012-07-19T13:47:41.728+00:00|2013-01-01T00:00:00.000+00:00|false|1030792151560|962072674823
2012-07-19T15:21:15.100+00:00|2013-01-01T00:00:00.000+00:00|false|1030792151561|962072674823
2012-11-15T05:14:35.531+00:00|2013-01-01T00:00:00.000+00:00|false|1168231105034|962072674823
2012-07-02T11:10:43.970+00:00|2013-01-01T00:00:00.000+00:00|false|962072674827|962072674823
2012-07-02T09:01:05.378+00:00|2013-01-01T00:00:00.000+00:00|false|962072674828|962072674823
2012-12-16T12:33:06.664+00:00|2013-01-01T00:00:00.000+00:00|false|1168231105037|962072674823
2012-08-01T06:15:28.082+00:00|2013-01-01T00:00:00.000+00:00|false|1030792151571|962072674823
2012-07-02T06:10:58.455+00:00|2013-01-01T00:00:00.000+00:00|false|962072674836|962072674823
2012-07-02T06:07:56.908+00:00|2013-01-01T00:00:00.000+00:00|false|962072674838|962072674823
2012-08-27T13:17:07.561+00:00|2013-01-01T00:00:00.000+00:00|false|1030792151577|1030792151576
2012-07-31T07:31:47.056+00:00|2013-01-01T00:00:00.000+00:00|false|1030792151578|1030792151576
2012-08-27T15:57:29.444+00:00|2013-01-01T00:00:00.000+00:00|false|1030792151579|1030792151576
2012-09-22T19:18:04.981+00:00|2013-01-01T00:00:00.000+00:00|false|1099511628328|1030792151576
2012-10-25T20:39:16.383+00:00|2013-01-01T00:00:00.000+00:00|false|1099511629079|1099511629078
2012-10-25T21:26:07.642+00:00|2013-01-01T00:00:00.000+00:00|false|1099511629081|1099511629078
2012-10-25T17:05:19.616+00:00|2013-01-01T00:00:00.000+00:00|false|1099511629082|1099511629078
2012-05-18T15:20:34.006+00:00|2013-01-01T00:00:00.000+00:00|false|962072675614|962072675613
2012-05-18T12:20:04.808+00:00|2013-01-01T00:00:00.000+00:00|false|962072675615|962072675613
2012-05-17T20:28:59.395+00:00|2013-01-01T00:00:00.000+00:00|false|962072675616|962072675613
2012-05-17T20:51:57.539+00:00|2013-01-01T00:00:00.000+00:00|false|962072675619|962072675613
2012-07-13T19:54:52.562+00:00|2013-01-01T00:00:00.000+00:00|false|1030792152357|687194768676
2011-11-21T03:40:43.375+00:00|2013-01-01T00:00:00.000+00:00|false|755914245414|687194768676
2012-02-28T17:22:51.967+00:00|2013-01-01T00:00:00.000+00:00|false|824633722152|687194768676
2012-02-28T15:02:57.887+00:00|2013-01-01T00:00:00.000+00:00|false|824633722155|687194768676
2012-02-29T00:54:47.968+00:00|2013-01-01T00:00:00.000+00:00|false|824633722157|687194768676
2012-12-05T05:44:03.965+00:00|2013-01-01T00:00:00.000+00:00|false|1168231105842|687194768689
2012-10-27T02:27:04.819+00:00|2013-01-01T00:00:00.000+00:00|false|1099511629107|687194768689
2012-12-05T05:18:49.029+00:00|2013-01-01T00:00:00.000+00:00|false|1168231105844|687194768689
