creationDate|deletionDate|explicitlyDeleted|Person1.id|Person2.id|weight
2012-10-19T12:39:55.914+00:00|2019-12-30T00:00:00.000+00:00|false|19791209299968|24189255811081|0.95703125
2012-05-23T20:59:37.460+00:00|2019-12-30T00:00:00.000+00:00|false|24189255811081|24189255811109|0.9296875
2012-06-10T16:32:52.722+00:00|2019-12-30T00:00:00.000+00:00|false|24189255811081|26388279066658|0.6796875
2012-07-01T08:09:52.719+00:00|2019-12-30T00:00:00.000+00:00|false|24189255811081|26388279066668|0.984375
2012-07-19T13:47:21.535+00:00|2019-12-30T00:00:00.000+00:00|false|24189255811081|28587302322180|0.7890625
2012-08-03T15:36:12.077+00:00|2019-12-30T00:00:00.000+00:00|false|24189255811081|28587302322196|0.75390625
2012-10-14T00:46:49.500+00:00|2012-11-04T08:01:55.626+00:00|true|24189255811081|35184372088834|0.96875
2011-12-05T15:59:34.277+00:00|2012-01-31T17:29:45.363+00:00|false|8796093022249|10995116277782|0.9375
2011-08-03T22:55:19.719+00:00|2012-01-31T17:29:45.363+00:00|false|8796093022249|13194139533355|1.0
2011-11-16T14:05:50.113+00:00|2012-01-31T17:29:45.363+00:00|false|8796093022249|19791209299968|1.0
2012-01-08T14:23:30.207+00:00|2012-01-31T17:29:45.363+00:00|false|8796093022249|24189255811081|0.95703125
2012-01-18T03:01:58.932+00:00|2012-01-31T17:29:45.363+00:00|false|8796093022249|26388279066658|0.63671875
2011-09-04T04:10:42.355+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|8796093022244|0.73046875
2011-03-12T08:29:37.727+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|10995116277761|0.88671875
2011-12-29T11:29:30.153+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|13194139533342|0.828125
2012-01-17T16:40:06.360+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|13194139533352|0.96875
2011-11-13T22:39:00.949+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|15393162788877|0.8671875
2012-07-08T16:38:19.049+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|17592186044461|0.9921875
2012-04-11T22:56:51.362+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|24189255811081|0.7734375
2012-11-29T17:38:24.399+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|26388279066641|0.80078125
2012-01-16T01:49:13.002+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|26388279066658|0.90625
2012-06-21T05:46:04.882+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|26388279066668|0.7890625
2012-09-08T16:48:13.698+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|28587302322180|0.984375
2012-06-05T04:39:11.423+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|28587302322196|0.98046875
2012-08-19T00:19:21.283+00:00|2012-10-13T16:44:42.831+00:00|true|2199023255594|30786325577740|0.94921875
2012-11-12T08:11:24.281+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|35184372088850|0.94921875
2012-12-26T17:26:59.388+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|35184372088856|0.703125
2012-04-27T06:44:56.674+00:00|2012-09-07T21:09:36.645+00:00|true|2199023255573|13194139533355|0.96484375
2012-05-17T19:59:14.966+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255573|24189255811081|0.9921875
2012-10-30T17:05:52.533+00:00|2019-12-30T00:00:00.000+00:00|false|13194139533342|24189255811081|0.9453125
2012-10-03T02:51:00.147+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066655|28587302322180|0.84765625
2012-12-18T05:14:21.256+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066655|35184372088856|0.87109375
2011-06-24T02:40:20.246+00:00|2019-12-30T00:00:00.000+00:00|false|32|2199023255594|0.93359375
2012-08-18T04:04:48.360+00:00|2019-12-30T00:00:00.000+00:00|false|32|13194139533352|0.96484375
2012-11-12T02:57:04.309+00:00|2019-12-30T00:00:00.000+00:00|false|32|17592186044461|0.94140625
2012-02-09T11:13:18.460+00:00|2019-12-30T00:00:00.000+00:00|false|32|26388279066658|0.97265625
2012-08-18T07:57:14.510+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066632|28587302322204|0.94140625
2012-06-20T00:36:30.767+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066658|28587302322196|0.92578125
2012-06-26T13:31:07.084+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066658|30786325577740|0.95703125
2012-11-18T02:17:42.978+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066658|35184372088850|0.85546875
2012-11-21T18:40:32.901+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066658|35184372088856|0.609375
2012-08-23T05:27:40.596+00:00|2019-12-30T00:00:00.000+00:00|false|28587302322180|28587302322204|0.84375
2012-08-01T04:03:28.500+00:00|2019-12-30T00:00:00.000+00:00|false|28587302322180|28587302322223|0.76171875
