creationDate|deletionDate|explicitlyDeleted|Person.id|Post.id
2011-05-28T07:23:09.949+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|549755814054
2011-05-29T20:11:25.811+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|549755814067
2011-12-17T20:03:30.925+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|755914244290
2012-08-30T03:33:49.816+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066655|1030792151252
2011-03-18T14:50:58.186+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|481036337377
2010-11-15T12:33:18.791+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|343597383920
2010-07-30T00:17:28.645+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|206158430518
2010-07-31T18:15:16.819+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|206158430523
2010-07-31T13:58:07.852+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|206158430524
2010-07-25T17:47:19.833+00:00|2010-07-25T17:47:19.846+00:00|false|2199023255594|206158430525
2012-03-09T11:05:00.770+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|893353197985
2012-03-14T05:27:52.990+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066655|893353197985
2011-09-11T05:54:21.611+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|687194767800
2011-09-15T02:48:47.283+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|687194767801
2011-09-10T18:39:46.709+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|687194767808
2010-12-23T08:35:01.672+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|343597384144
2012-11-27T00:22:20.417+00:00|2019-12-30T00:00:00.000+00:00|false|28587302322180|1168231105025
2012-12-06T01:08:59.569+00:00|2019-12-30T00:00:00.000+00:00|false|28587302322223|1168231105066
2012-08-15T08:00:55.448+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066655|1030792151604
2012-08-15T06:20:21.719+00:00|2019-12-30T00:00:00.000+00:00|false|16|1030792151607
2012-08-14T05:45:49.939+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|1030792151607
2012-08-14T16:10:42.076+00:00|2019-12-30T00:00:00.000+00:00|false|10995116277782|1030792151607
2012-08-16T10:17:01.321+00:00|2019-12-30T00:00:00.000+00:00|false|17592186044443|1030792151607
2012-08-17T01:07:48.602+00:00|2019-12-30T00:00:00.000+00:00|false|24189255811081|1030792151607
2012-08-12T23:45:06.294+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066641|1030792151607
2012-08-14T22:05:04.129+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066655|1030792151607
2012-08-16T15:19:09.812+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066668|1030792151607
2012-08-16T07:43:27.477+00:00|2019-12-30T00:00:00.000+00:00|false|28587302322223|1030792151607
2012-08-14T22:50:16.314+00:00|2019-12-30T00:00:00.000+00:00|false|30786325577731|1030792151607
2012-08-17T01:56:42.049+00:00|2019-12-30T00:00:00.000+00:00|false|32985348833329|1030792151607
2012-10-22T06:21:09.429+00:00|2019-12-30T00:00:00.000+00:00|false|24189255811081|1099511628368
2012-10-21T08:32:32.281+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066641|1099511628368
2012-10-21T18:22:46.358+00:00|2012-10-21T18:22:56.826+00:00|true|26388279066655|1099511628368
2012-10-24T01:35:53.931+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066668|1099511628368
2012-10-21T21:35:41.824+00:00|2019-12-30T00:00:00.000+00:00|false|28587302322204|1099511628368
2012-10-25T10:20:56.854+00:00|2019-12-30T00:00:00.000+00:00|false|28587302322223|1099511628368
2012-05-23T07:50:49.057+00:00|2019-12-30T00:00:00.000+00:00|false|16|962072674945
2012-05-23T12:38:22.991+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|962072674945
2012-05-24T23:54:08.795+00:00|2019-12-30T00:00:00.000+00:00|false|10995116277782|962072674945
2012-05-22T04:52:15.712+00:00|2019-12-30T00:00:00.000+00:00|false|13194139533352|962072674945
2012-05-22T00:15:02.235+00:00|2019-12-30T00:00:00.000+00:00|false|17592186044443|962072674945
2012-05-19T04:34:24.700+00:00|2019-12-30T00:00:00.000+00:00|false|24189255811081|962072674945
2012-05-20T14:52:47.236+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066655|962072674945
2012-05-19T10:01:00.254+00:00|2019-12-30T00:00:00.000+00:00|false|28587302322223|962072674945
2012-09-30T00:48:29.316+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|1099511628436
2012-09-25T21:27:34.259+00:00|2019-12-30T00:00:00.000+00:00|false|10995116277782|1099511628436
2012-10-01T17:39:56.861+00:00|2019-12-30T00:00:00.000+00:00|false|13194139533352|1099511628436
2012-09-29T09:59:34.701+00:00|2019-12-30T00:00:00.000+00:00|false|17592186044443|1099511628436
2012-09-26T00:04:48.014+00:00|2019-12-30T00:00:00.000+00:00|false|24189255811081|1099511628436
2012-09-28T06:16:25.723+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066641|1099511628436
2012-09-30T02:26:37.931+00:00|2019-12-30T00:00:00.000+00:00|false|26388279066655|1099511628436
2012-09-30T17:32:41.723+00:00|2019-12-30T00:00:00.000+00:00|false|28587302322204|1099511628436
2012-09-28T04:33:33.435+00:00|2019-12-30T00:00:00.000+00:00|false|28587302322223|1099511628436
2012-09-26T14:25:02.332+00:00|2019-12-30T00:00:00.000+00:00|false|32985348833329|1099511628436
2012-09-28T20:31:03.545+00:00|2019-12-30T00:00:00.000+00:00|false|2199023255594|1099511628437
2012-09-25T17:19:41.064+00:00|2019-12-30T00:00:00.000+00:00|false|10995116277782|1099511628441
2012-09-26T03:32:53.291+00:00|2019-12-30T00:00:00.000+00:00|false|13194139533352|1099511628441
