creationDate|deletionDate|explicitlyDeleted|Forum.id|Person.id
2011-10-06T01:23:41.981+00:00|2019-12-30T00:00:00.000+00:00|false|687194767360|21990232555526
2012-05-29T09:47:11.247+00:00|2019-12-30T00:00:00.000+00:00|false|962072674305|21990232555526
2012-07-29T00:15:00.336+00:00|2019-12-30T00:00:00.000+00:00|false|1030792151042|21990232555526
2012-10-21T23:36:09.987+00:00|2019-12-30T00:00:00.000+00:00|false|1099511627779|21990232555526
2012-01-27T12:48:57.866+00:00|2019-12-30T00:00:00.000+00:00|false|824633720836|21990232555526
2012-04-12T08:18:07.462+00:00|2019-12-30T00:00:00.000+00:00|false|893353197573|21990232555526
2012-05-13T20:46:43.373+00:00|2019-12-30T00:00:00.000+00:00|false|962072674310|21990232555526
2012-04-06T19:07:03.077+00:00|2019-12-30T00:00:00.000+00:00|false|893353197575|21990232555526
2012-10-16T11:22:56.633+00:00|2019-12-30T00:00:00.000+00:00|false|1099511627784|21990232555526
2012-04-05T02:04:04.418+00:00|2019-12-30T00:00:00.000+00:00|false|893353197577|21990232555526
2012-09-08T16:48:12.089+00:00|2019-12-30T00:00:00.000+00:00|false|1099511627786|21990232555526
2012-06-27T19:31:27.129+00:00|2019-12-30T00:00:00.000+00:00|false|962072674315|21990232555526
2012-11-20T17:13:05.820+00:00|2019-12-30T00:00:00.000+00:00|false|1168231104524|21990232555526
2012-02-11T14:22:41.990+00:00|2019-12-30T00:00:00.000+00:00|false|824633720845|21990232555526
2012-04-09T21:42:03.730+00:00|2019-12-30T00:00:00.000+00:00|false|893353197582|21990232555526
2011-11-06T14:58:06.267+00:00|2019-12-30T00:00:00.000+00:00|false|687194767375|21990232555526
2010-04-18T01:27:31.494+00:00|2019-12-30T00:00:00.000+00:00|false|68719476752|2199023255573
2012-08-06T10:01:43.641+00:00|2019-12-30T00:00:00.000+00:00|false|1030792151057|32985348833318
2010-06-15T10:01:07.698+00:00|2011-01-01T15:57:13.496+00:00|false|137438953490|4398046511139
2010-01-31T13:13:13.929+00:00|2019-12-30T00:00:00.000+00:00|false|19|16
2011-05-23T06:01:06.143+00:00|2019-12-30T00:00:00.000+00:00|false|549755813908|16
2012-01-20T18:01:47.397+00:00|2019-12-30T00:00:00.000+00:00|false|824633720853|16
2011-12-11T15:06:48.776+00:00|2019-12-30T00:00:00.000+00:00|false|755914244118|16
2011-07-10T15:36:40.808+00:00|2019-12-30T00:00:00.000+00:00|false|618475290647|16
2012-08-29T16:42:37.593+00:00|2019-12-30T00:00:00.000+00:00|false|1030792151064|16
2011-03-13T14:22:54.931+00:00|2019-12-30T00:00:00.000+00:00|false|481036337177|16
