creationDate|Person.id|Comment.id
2012-12-29T09:29:43.598+00:00|35184372088871|1168231106752
2012-12-29T22:05:09.732+00:00|10995116277783|1168231106752
2012-12-29T19:51:49.697+00:00|26388279066632|1168231106752
2012-12-29T18:01:00.722+00:00|28587302322196|1168231106752
2012-12-29T18:41:01.875+00:00|10995116277761|1168231106752
2012-12-29T02:07:16.589+00:00|13194139533352|1168231106752
2012-12-29T00:28:48.888+00:00|10995116277782|1168231106752
2012-12-29T01:30:20.845+00:00|28587302322204|1168231106782
2012-12-29T13:33:17.169+00:00|17592186044461|1168231106782
2012-12-29T02:46:51.513+00:00|14|1168231106782
2012-12-29T14:20:06.273+00:00|24189255811109|1168231106782
2012-12-29T03:21:26.044+00:00|35184372088850|1168231106782
2012-12-29T19:55:51.130+00:00|32985348833291|1168231106782
2012-12-29T22:35:20.303+00:00|35184372088834|1168231109255
2012-12-29T15:27:29.779+00:00|28587302322180|1168231109255
2012-12-29T06:20:55.881+00:00|10995116277782|1168231109255
2012-12-29T00:14:29.759+00:00|28587302322223|1168231109255
2012-12-29T09:06:33.166+00:00|13194139533342|1168231109255
2012-12-29T05:14:42.589+00:00|28587302322204|1168231109255
